checkpoint,ci,claim,dataset,definition,gap_max,gap_min,judges,llm_gap_max,llm_gap_min,n_judges,n_pairs,sign_of_points_stable,sign_stable,source,value,widest_ci
gams_orig,,eval1 gap range (carried),exp5 S4 harmful (twins),strict,0.01945525291828787,0.0,"gpt41,keyword,nemotron",0.0,0.0,3,,False,False,,,"[-0.008, 0.047]"
gams_orig,,eval1 gap range (carried),iter-1 exp1 harmful_behaviors,strict,-0.010000000000000009,-0.010000000000000009,keyword,,,1,,True,False,,,"[-0.050, 0.020]"
gemma_edit,,eval1 gap range (carried),"exp4 S5 (RefusEU, unpaired)",broad,0.03663003663003661,-0.03869687660010246,"gpt41,qwen3_14b",0.03663003663003661,-0.03869687660010246,2,,False,False,,,"[-0.118, 0.191]"
gemma_edit,,eval1 gap range (carried),"exp4 S5 (RefusEU, unpaired)",strict,0.5448717948717949,0.04999999999999993,"gpt41,keyword,qwen3_14b",0.5448717948717949,0.45254736303123405,3,,True,False,,,"[-0.005, 0.708]"
gemma_edit,,eval1 gap range (carried),"exp4 S5X (paired, verified translations)",broad,0.22999999999999998,0.0,"qwen3_14b,gpt41",0.22999999999999998,0.0,2,,False,True,,,"[0.140, 0.320]"
gemma_edit,,eval1 gap range (carried),"exp4 S5X (paired, verified translations)",strict,0.69,0.06000000000000005,"qwen3_14b,gpt41,keyword",0.69,0.5,3,,True,False,,,"[-0.020, 0.780]"
gemma_edit,,eval1 gap range (carried),exp5 S4 harmful (twins),broad,0.21423728813559317,0.2026780279975654,"gpt41,nemotron",0.21423728813559317,0.2026780279975654,2,,True,True,,,"[0.020, 0.384]"
gemma_edit,,eval1 gap range (carried),exp5 S4 harmful (twins),strict,0.5875486381322956,0.22154595252586728,"gpt41,keyword,nemotron",0.24994350282485878,0.22154595252586728,3,,True,True,,,"[0.041, 0.650]"
gemma_edit,,eval1 gap range (carried),exp7 ET_096 JBB (self-judge),broad,0.04878048780487809,0.04878048780487809,gemma_self,0.04878048780487809,0.04878048780487809,1,,True,False,,,"[0.000, 0.122]"
gemma_edit,,eval1 gap range (carried),exp7 ET_096 JBB (self-judge),strict,0.7073170731707317,0.3414634146341463,"gemma_self,keyword",0.7073170731707317,0.7073170731707317,2,,True,True,,,"[0.195, 0.854]"
gemma_edit,,eval1 gap range (carried),exp8 W0 S4-hoc,broad,0.37142857142857144,0.02857142857142858,"gpt41,qwen3_14b",0.37142857142857144,0.02857142857142858,2,,True,False,,,"[0.000, 0.500]"
gemma_edit,,eval1 gap range (carried),exp8 W0 S4-hoc,strict,0.49999999999999994,0.22857142857142865,"gpt41,keyword,qwen3_14b",0.49999999999999994,0.22857142857142865,3,,True,True,,,"[0.114, 0.614]"
gemma_edit,,eval1 gap range (carried),iter-1 exp1 harmful_behaviors,strict,0.21000000000000008,0.21000000000000008,keyword,,,1,,True,True,,,"[0.110, 0.310]"
gemma_orig,,eval1 gap range (carried),"exp4 S5 (RefusEU, unpaired)",broad,-0.019607843137254943,-0.04285714285714293,"gpt41,qwen3_14b",-0.019607843137254943,-0.04285714285714293,2,,True,False,,,"[-0.074, 0.000]"
gemma_orig,,eval1 gap range (carried),"exp4 S5 (RefusEU, unpaired)",strict,-0.017857142857142905,-0.07843137254901966,"gpt41,keyword,qwen3_14b",-0.03214285714285714,-0.07843137254901966,3,,True,False,,,"[-0.157, 0.002]"
gemma_orig,,eval1 gap range (carried),"exp4 S5X (paired, verified translations)",broad,0.0,0.0,"qwen3_14b,gpt41",0.0,0.0,2,,False,False,,,"[-0.030, 0.030]"
gemma_orig,,eval1 gap range (carried),"exp4 S5X (paired, verified translations)",strict,0.030000000000000027,0.0,"qwen3_14b,gpt41,keyword",0.030000000000000027,0.0,3,,False,False,,,"[0.000, 0.070]"
gemma_orig,,eval1 gap range (carried),exp5 S4 harmful (twins),broad,0.004778972520908087,-0.0006571087216248328,"gpt41,nemotron",0.004778972520908087,-0.0006571087216248328,2,,False,False,,,"[-0.090, 0.107]"
gemma_orig,,eval1 gap range (carried),exp5 S4 harmful (twins),strict,0.07392996108949423,-0.0006571087216248328,"gpt41,keyword,nemotron",0.004778972520908087,-0.0006571087216248328,3,,False,False,,,"[-0.090, 0.109]"
gemma_orig,,eval1 gap range (carried),iter-1 exp1 harmful_behaviors,strict,-0.030000000000000027,-0.030000000000000027,keyword,,,1,,True,False,,,"[-0.070, 0.000]"
