artifact,unit,set,lang,channel,channel_desc,certification,panel_certification,n,coverage_of_cell,p_keyword,p_reference,d_signed,d_ci_lo,d_ci_hi,fp_share,fn_share,partial_share_of_keyword_refusals,kappa,pabak,ac1,tp,fp,fn,tn,mechanism,paired_basis,coverage_note,source,p_reference_rogan_gladen,p_reference_rg_ci_lo,p_reference_rg_ci_hi,d_signed_rogan_gladen,d_rg_ci_lo,d_rg_ci_hi,rg_se_sp
exp11,A_orig,S6,sl,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),NO PANEL SAMPLE,60,1.0,0.0,0.3333333333333333,-0.3333333333333333,-0.45,-0.21666666666666667,,1.0,,-0.0,0.33333333333333326,0.5384615384615384,0,0,20,40,SILENT,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/A_orig.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S6, lang==sl]",0.46303333544450775,0.283626318626615,0.6535458339326264,-0.46303333544450775,-0.6535458339326266,-0.2836263186266151,Se 0.697 / Sp 0.980 (n=456)
exp11,A_orig,S6,sl,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,60,1.0,0.0,0.4,-0.4,-0.5166666666666667,-0.26666666666666666,,1.0,,0.0,0.19999999999999996,0.41176470588235287,0,0,24,36,SILENT,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/A_orig.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S6, lang==sl]",,,,,,,
exp11,B_keyword_t96,S4hoc,en,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",CERTIFIED (gate met),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)",70,1.0,0.7142857142857143,0.44285714285714284,0.27142857142857146,0.12857142857142856,0.4142857142857143,0.52,0.22580645161290322,0.38,0.101167315175,0.05714285714285716,0.07986456881099381,24,26,7,13,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/B_keyword_t96.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S4hoc, lang==en]",,,,,,,
exp11,B_keyword_t96,S4hoc,en,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,70,1.0,0.7142857142857143,0.6714285714285714,0.04285714285714293,-0.11428571428571428,0.2,0.34,0.2978723404255319,,-0.038277511962,0.11428571428571432,0.22899271629063778,33,17,14,6,MIXED,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/B_keyword_t96.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S4hoc, lang==en]",,,,,,,
exp11,B_keyword_t96,S4hoc,sl,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",70,1.0,0.0,0.8428571428571429,-0.8428571428571429,-0.9285714285714286,-0.7571428571428571,,1.0,,0.0,-0.6857142857142857,-0.6450906193985262,0,0,59,11,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/B_keyword_t96.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S4hoc, lang==sl]",1.0,1.0,1.0,-1.0,-1.0,-1.0,Se 0.697 / Sp 0.980 (n=456)
exp11,B_keyword_t96,S4hoc,sl,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,70,1.0,0.0,0.8714285714285714,-0.8714285714285714,-0.9428571428571428,-0.7857142857142857,,1.0,,0.0,-0.7428571428571429,-0.7145151575988758,0,0,61,9,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/B_keyword_t96.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S4hoc, lang==sl]",,,,,,,
exp11,B_keyword_t96,S5X,en,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",CERTIFIED (gate met),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)",100,1.0,0.92,0.15,0.77,0.68,0.86,0.8478260869565217,0.06666666666666667,0.44565217391304346,0.005037783375,-0.5800000000000001,-0.5722957508209771,14,78,1,7,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/B_keyword_t96.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S5X, lang==en]",,,,,,,
exp11,B_keyword_t96,S5X,en,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,100,1.0,0.92,0.26,0.66,0.55,0.76,0.75,0.11538461538461539,,-0.026225769669,-0.43999999999999995,-0.3948082138705927,23,69,3,5,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/B_keyword_t96.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S5X, lang==en]",,,,,,,
exp11,B_keyword_t96,S5X,sl,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",100,1.0,0.0,0.83,-0.83,-0.9,-0.76,,1.0,,-0.0,-0.6599999999999999,-0.6133735056856834,0,0,83,17,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/B_keyword_t96.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S5X, lang==sl]",1.0,1.0,1.0,-1.0,-1.0,-1.0,Se 0.697 / Sp 0.980 (n=456)
exp11,B_keyword_t96,S5X,sl,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,100,1.0,0.0,0.89,-0.89,-0.95,-0.83,,1.0,,0.0,-0.78,-0.758719494121134,0,0,89,11,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/B_keyword_t96.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S5X, lang==sl]",,,,,,,
exp11,B_keyword_t96,S6,en,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",CERTIFIED (gate met),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)",60,1.0,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,0.26666666666666666,1.0,,0.2,0.0,0.6666666666666667,0.8032786885245902,0,10,0,50,MISFIRING,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/B_keyword_t96.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S6, lang==en]",,,,,,,
exp11,B_keyword_t96,S6,en,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,60,1.0,0.16666666666666666,0.016666666666666666,0.15,0.06666666666666667,0.25,0.9,0.0,,0.15625,0.7,0.8200299950008333,1,9,0,50,MISFIRING,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/B_keyword_t96.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S6, lang==en]",,,,,,,
exp11,B_keyword_t96,S6,sl,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",60,1.0,0.0,0.2,-0.2,-0.3,-0.1,,1.0,,0.0,0.6000000000000001,0.7560975609756098,0,0,12,48,SILENT,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/B_keyword_t96.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S6, lang==sl]",0.2660396478561024,0.12031854028142892,0.428853071271832,-0.2660396478561024,-0.42885307127183214,-0.12031854028142892,Se 0.697 / Sp 0.980 (n=456)
exp11,B_keyword_t96,S6,sl,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,60,1.0,0.0,0.23333333333333334,-0.23333333333333334,-0.3333333333333333,-0.13333333333333333,,1.0,,0.0,0.5333333333333334,0.7060881735479356,0,0,14,46,SILENT,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/B_keyword_t96.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S6, lang==sl]",,,,,,,
exp11,C_corrected,S4hoc,en,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",CERTIFIED (gate met),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)",70,1.0,0.5428571428571428,0.2,0.3428571428571428,0.18571428571428572,0.5,0.8421052631578947,0.5714285714285714,0.47368421052631576,-0.086956521739,-0.1428571428571429,-0.07197549770290969,6,32,8,24,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/C_corrected.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S4hoc, lang==en]",,,,,,,
exp11,C_corrected,S4hoc,en,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,70,1.0,0.5428571428571428,0.6,-0.05714285714285716,-0.22857142857142856,0.11428571428571428,0.42105263157894735,0.47619047619047616,,-0.046511627907,-0.02857142857142858,-0.007999999999999986,22,16,20,12,MIXED,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/C_corrected.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S4hoc, lang==en]",,,,,,,
exp11,C_corrected,S4hoc,sl,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",70,1.0,0.0,0.5857142857142857,-0.5857142857142857,-0.7,-0.4714285714285714,,1.0,,0.0,-0.17142857142857137,0.00017418568193704163,0,0,41,29,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/C_corrected.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S4hoc, lang==sl]",0.8359142440939894,0.6450174670429227,1.0,-0.8359142440939894,-1.0,-0.6450174670429234,Se 0.697 / Sp 0.980 (n=456)
exp11,C_corrected,S4hoc,sl,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,70,1.0,0.0,0.8,-0.8,-0.8857142857142857,-0.7,,1.0,,0.0,-0.6,-0.5384615384615384,0,0,56,14,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/C_corrected.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S4hoc, lang==sl]",,,,,,,
exp11,C_corrected,S5X,en,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",CERTIFIED (gate met),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)",100,1.0,0.8,0.03,0.77,0.68,0.85,0.975,0.3333333333333333,0.275,-0.010230179028,-0.5800000000000001,-0.5356205656526389,2,78,1,19,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/C_corrected.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S5X, lang==en]",,,,,,,
exp11,C_corrected,S5X,en,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,100,1.0,0.8,0.15,0.65,0.53,0.76,0.875,0.3333333333333333,,-0.056338028169,-0.5,-0.4962593516209476,10,70,5,15,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/C_corrected.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S5X, lang==en]",,,,,,,
exp11,C_corrected,S5X,sl,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",100,1.0,0.0,0.41,-0.41,-0.51,-0.31,,1.0,,-0.0,0.17999999999999994,0.3917365180624582,0,0,41,59,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/C_corrected.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S5X, lang==sl]",0.5763047058078409,0.4228747181245767,0.7394392765728492,-0.5763047058078409,-0.7394392765728494,-0.4228747181245767,Se 0.697 / Sp 0.980 (n=456)
exp11,C_corrected,S5X,sl,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,100,1.0,0.0,0.71,-0.71,-0.8,-0.62,,1.0,,-0.0,-0.42000000000000004,-0.3098422654736647,0,0,71,29,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/C_corrected.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S5X, lang==sl]",,,,,,,
exp11,C_corrected,S6,en,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",CERTIFIED (gate met),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)",60,1.0,0.2,0.016666666666666666,0.18333333333333335,0.08333333333333333,0.3,1.0,1.0,0.16666666666666666,-0.031746031746,0.5666666666666667,0.7314511964193493,0,12,1,47,MISFIRING,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/C_corrected.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S6, lang==en]",,,,,,,
exp11,C_corrected,S6,en,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,60,1.0,0.2,0.016666666666666666,0.18333333333333335,0.08333333333333333,0.3,1.0,1.0,,-0.031746031746,0.5666666666666667,0.7314511964193493,0,12,1,47,MISFIRING,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/C_corrected.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S6, lang==en]",,,,,,,
exp11,C_corrected,S6,sl,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",60,1.0,0.0,0.18333333333333332,-0.18333333333333332,-0.2833333333333333,-0.08333333333333333,,1.0,,0.0,0.6333333333333333,0.7800366605565738,0,0,11,49,SILENT,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/C_corrected.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S6, lang==sl]",0.24141543690755146,0.09931272967278483,0.4015619182055523,-0.24141543690755146,-0.4015619182055525,-0.09931272967278504,Se 0.697 / Sp 0.980 (n=456)
exp11,C_corrected,S6,sl,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,60,1.0,0.0,0.3,-0.3,-0.4166666666666667,-0.18333333333333332,,1.0,,0.0,0.3999999999999999,0.5973154362416107,0,0,18,42,SILENT,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/C_corrected.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S6, lang==sl]",,,,,,,
exp11,D2_reselected_judge,S4hoc,en,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",CERTIFIED (gate met),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)",70,1.0,0.5285714285714286,0.15714285714285714,0.37142857142857144,0.21428571428571427,0.5142857142857142,0.8648648648648649,0.5454545454545454,0.3783783783783784,-0.044776119403,-0.08571428571428574,0.011887072808320893,5,32,6,27,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D2_reselected_judge.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S4hoc, lang==en]",,,,,,,
exp11,D2_reselected_judge,S4hoc,en,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,70,1.0,0.5285714285714286,0.6571428571428571,-0.12857142857142856,-0.3142857142857143,0.04321428571428377,0.4864864864864865,0.5869565217391305,,-0.309226932668,-0.2857142857142857,-0.24284868810416255,19,18,27,6,MIXED,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D2_reselected_judge.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S4hoc, lang==en]",,,,,,,
exp11,D2_reselected_judge,S4hoc,sl,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",70,1.0,0.0,0.6,-0.6,-0.7142857142857143,-0.4857142857142857,,1.0,,0.0,-0.19999999999999996,-0.034482758620689585,0,0,42,28,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D2_reselected_judge.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S4hoc, lang==sl]",0.8570207106213185,0.6612659681321803,1.0,-0.8570207106213185,-1.0,-0.6612659681321804,Se 0.697 / Sp 0.980 (n=456)
exp11,D2_reselected_judge,S4hoc,sl,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,70,1.0,0.0,0.8714285714285714,-0.8714285714285714,-0.9428571428571428,-0.7857142857142857,,1.0,,0.0,-0.7428571428571429,-0.7145151575988758,0,0,61,9,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D2_reselected_judge.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S4hoc, lang==sl]",,,,,,,
exp11,D2_reselected_judge,S5X,en,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",CERTIFIED (gate met),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)",100,1.0,0.79,0.04,0.75,0.66,0.8302499999999986,0.9620253164556962,0.25,0.26582278481012656,-0.004173187272,-0.54,-0.4967440956361164,3,76,1,20,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D2_reselected_judge.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S5X, lang==en]",,,,,,,
exp11,D2_reselected_judge,S5X,en,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,100,1.0,0.79,0.13,0.66,0.54,0.77,0.8987341772151899,0.38461538461538464,,-0.0635320459,-0.52,-0.51033386327504,8,71,5,16,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D2_reselected_judge.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S5X, lang==en]",,,,,,,
exp11,D2_reselected_judge,S5X,sl,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",100,1.0,0.0,0.45,-0.45,-0.54,-0.35,,1.0,,0.0,0.10000000000000009,0.3090211132437621,0,0,45,55,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D2_reselected_judge.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S5X, lang==sl]",0.6354028120843626,0.47832908495237175,0.8054010238083575,-0.6354028120843626,-0.8054010238083575,-0.47832908495237186,Se 0.697 / Sp 0.980 (n=456)
