artifact,unit,pair_set,channel,edited,certification_en,certification_sl,panel_certification_en,panel_certification_sl,n_pairs,d_en,d_sl,delta_lang,silence_component,reference_component,identity_residual,fp_component,fn_component,p_kw_en,p_kw_sl,p_ref_en,p_ref_sl,mcnemar_disagreement_b_en_only,mcnemar_disagreement_c_sl_only,mcnemar_disagreement_p_exact,mcnemar_underreport_b_en_only,mcnemar_underreport_c_sl_only,mcnemar_underreport_p_exact,signed_sign_test_n_sl_lower,signed_sign_test_n_sl_higher,signed_sign_test_p_exact,fp_rate_en,fn_rate_en,fp_rate_sl,fn_rate_sl,share_of_d_sl_from_silence_fn,small_n_flag,delta_lang_ci95,silence_component_ci95,reference_component_ci95,fp_component_ci95,fn_component_ci95,ref_gap_sl_minus_en_ci95,kw_gap_sl_minus_en_ci95,ref_gap_sl_minus_en,kw_gap_sl_minus_en,delta_lang_rogan_gladen,delta_lang_rogan_gladen_ci95,delta_lang_ci95_lo,silence_component_ci95_lo,reference_component_ci95_lo,fp_component_ci95_lo,fn_component_ci95_lo,ref_gap_sl_minus_en_ci95_lo,kw_gap_sl_minus_en_ci95_lo,delta_lang_rogan_gladen_ci95_lo,delta_lang_ci95_hi,silence_component_ci95_hi,reference_component_ci95_hi,fp_component_ci95_hi,fn_component_ci95_hi,ref_gap_sl_minus_en_ci95_hi,kw_gap_sl_minus_en_ci95_hi,delta_lang_rogan_gladen_ci95_hi,source,ci_note
exp4,gams_edit,S5X,gpt41,True,FRONTIER-PROXY REFERENCE (the certification reference itself; no human reference),FRONTIER-PROXY REFERENCE (the certification reference itself; no human reference),,,7,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,"iter_2/gen_art/gen_art_experiment_4/results/gen/gams_edit.jsonl: pairs (S5:id:src, S5X:id:src->tgt); reference channel gpt41",n_pairs=7 < 30: no CI reported
exp4,gams_edit,S5X,polyguard,True,UNCERTIFIED (no refusal certification on disk),UNCERTIFIED (no refusal certification on disk),,,100,-0.06,-0.53,-0.47,-0.2,-0.27,5.551115123125783e-17,-0.15,-0.32,0.2,0.0,0.26,0.53,11,28,0.009475304279476404,2,34,1.941225491464138e-08,43,2,5.88897819397971e-11,0.15,0.21,0.0,0.53,1.0,False,,,,,,,,0.27,-0.2,,,-0.5902499999999999,-0.28,-0.37,-0.22,-0.42,0.17975000000000002,-0.28,,-0.35,-0.13,-0.17975000000000135,-0.08,-0.22,0.37,-0.13,,"iter_2/gen_art/gen_art_experiment_4/results/gen/gams_edit.jsonl: pairs (S5:id:src, S5X:id:src->tgt); reference channel polyguard",
exp4,community_ref,S5X,qwen,True,CERTIFIED (gate met),UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.421 [0.16,0.67], n=180)","PASS (within-edited kappa 0.874 [0.79,0.95], n=171)",100,0.07,-0.13,-0.2,-0.08,-0.12,0.0,-0.08,-0.12,0.08,0.0,0.01,0.13,9,13,0.5234670639038086,1,13,0.0018310546875,21,1,1.0967254638671875e-05,0.08,0.01,0.0,0.13,1.0,False,,,,,,,,0.12,-0.08,-0.24261796187218948,,-0.28,-0.14,-0.19,-0.14,-0.19,0.05,-0.14,-0.35892935755450744,-0.12,-0.03,-0.05,-0.03,-0.05,0.19,-0.03,-0.13351872571980755,"iter_2/gen_art/gen_art_experiment_4/results/gen/community_ref.jsonl: pairs (S5:id:src, S5X:id:src->tgt); reference channel qwen",
exp4,community_ref,S5X,polyguard,True,UNCERTIFIED (no refusal certification on disk),UNCERTIFIED (no refusal certification on disk),,,100,-0.12,-0.43,-0.31,-0.08,-0.23,0.0,-0.07,-0.24,0.08,0.0,0.2,0.43,10,27,0.007632078602910042,6,30,6.960169412195683e-05,34,6,8.364584573428147e-06,0.07,0.19,0.0,0.43,1.0,False,,,,,,,,0.23,-0.08,,,-0.43,-0.14,-0.34,-0.12,-0.34,0.12,-0.14,,-0.19,-0.03,-0.12,-0.02,-0.13,0.34,-0.03,,"iter_2/gen_art/gen_art_experiment_4/results/gen/community_ref.jsonl: pairs (S5:id:src, S5X:id:src->tgt); reference channel polyguard",
exp11,A_orig,S5X,qwen,False,CERTIFIED (gate met),UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),NO PANEL SAMPLE,NO PANEL SAMPLE,100,0.05,-0.99,-1.04,-1.0,-0.04,0.0,-0.05,-0.99,1.0,0.0,0.95,0.99,1,95,2.4486242498060206e-27,0,99,3.1554436208840472e-30,100,0,1.5777218104420236e-30,0.05,0.0,0.0,0.99,1.0,False,,,,,,,,0.04,-1.0,-1.0,,-1.08,-1.0,-0.08,-0.09,-1.0,0.01,-1.0,-1.0512874448457743,-1.01,-1.0,-0.01,-0.01,-0.97,0.08,-1.0,-1.0,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/A_orig.jsonl [set==S5X] pairs by semantic_id; reference channel qwen,
exp11,A_orig,S5X,polyguard,False,UNCERTIFIED (no refusal certification on disk),UNCERTIFIED (no refusal certification on disk),,,100,0.04,-0.99,-1.03,-1.0,-0.03,0.0,-0.04,-0.99,1.0,0.0,0.96,0.99,1,96,1.2369338993865465e-27,0,99,3.1554436208840472e-30,100,0,1.5777218104420236e-30,0.04,0.0,0.0,0.99,1.0,False,,,,,,,,0.03,-1.0,,,-1.07,-1.0,-0.07,-0.08,-1.0,0.0,-1.0,,-1.0,-1.0,0.0,-0.01,-0.97,0.07,-1.0,,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/A_orig.jsonl [set==S5X] pairs by semantic_id; reference channel polyguard,
exp11,A_orig,S4hoc,qwen,False,CERTIFIED (gate met),UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),NO PANEL SAMPLE,NO PANEL SAMPLE,70,0.04285714285714286,-0.9571428571428572,-1.0,-0.9857142857142858,-0.014285714285714285,0.0,-0.05714285714285714,-0.9428571428571428,0.9857142857142858,0.0,0.9428571428571428,0.9571428571428572,2,64,5.99563801384484e-17,0,66,2.710505431213761e-20,68,0,6.776263578034403e-21,0.05714285714285714,0.014285714285714285,0.0,0.9571428571428572,1.0,False,,,,,,,,0.014285714285714285,-0.9857142857142858,-0.9857142857142858,,-1.0571428571428572,-1.0,-0.07142857142857142,-0.11428571428571428,-0.9857142857142858,-0.02857142857142857,-1.0,-1.0677518609997634,-0.9428571428571428,-0.9571428571428572,0.02857142857142857,-0.014285714285714285,-0.8857142857142857,0.07142857142857142,-0.9571428571428572,-0.9571428571428572,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/A_orig.jsonl [set==S4hoc] pairs by semantic_id; reference channel qwen,
exp11,A_orig,S4hoc,polyguard,False,UNCERTIFIED (no refusal certification on disk),UNCERTIFIED (no refusal certification on disk),,,70,0.02857142857142857,-0.9714285714285714,-1.0,-0.9857142857142858,-0.014285714285714285,0.0,-0.04285714285714286,-0.9571428571428572,0.9857142857142858,0.0,0.9571428571428572,0.9714285714285714,2,66,1.5903890617646743e-17,0,67,1.3552527156068805e-20,69,0,3.3881317890172014e-21,0.04285714285714286,0.014285714285714285,0.0,0.9714285714285714,1.0,False,,,,,,,,0.014285714285714285,-0.9857142857142858,,,-1.042857142857143,-1.0,-0.04285714285714286,-0.1,-1.0,0.0,-1.0,,-0.9571428571428572,-0.9571428571428572,0.0,0.0,-0.9,0.04285714285714286,-0.9571428571428572,,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/A_orig.jsonl [set==S4hoc] pairs by semantic_id; reference channel polyguard,
exp11,B_keyword_t96,S5X,qwen,True,CERTIFIED (gate met),UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)","MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",100,0.77,-0.83,-1.6,-0.92,-0.68,0.0,-0.78,-0.82,0.92,0.0,0.15,0.83,17,21,0.6271025701571489,0,82,4.1359030627651384e-25,99,0,3.1554436208840472e-30,0.78,0.01,0.0,0.83,1.0,False,,,,,,,,0.68,-0.92,-1.8076261682242993,,-1.7,-0.97,-0.77,-0.86,-0.89,0.59,-0.97,-1.9063420259564743,-1.5,-0.87,-0.59,-0.7,-0.74,0.77,-0.87,-1.7107041074581226,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/B_keyword_t96.jsonl [set==S5X] pairs by semantic_id; reference channel qwen,
exp11,B_keyword_t96,S5X,polyguard,True,UNCERTIFIED (no refusal certification on disk),UNCERTIFIED (no refusal certification on disk),,,100,0.66,-0.89,-1.55,-0.92,-0.63,0.0,-0.69,-0.86,0.92,0.0,0.26,0.89,10,27,0.007632078602910042,0,86,2.5849394142282115e-26,96,0,2.524354896707238e-29,0.69,0.03,0.0,0.89,1.0,False,,,,,,,,0.63,-0.92,,,-1.66,-0.97,-0.73,-0.78,-0.92,0.53,-0.97,,-1.43,-0.87,-0.53,-0.6,-0.79,0.73,-0.87,,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/B_keyword_t96.jsonl [set==S5X] pairs by semantic_id; reference channel polyguard,
exp11,B_keyword_t96,S4hoc,qwen,True,CERTIFIED (gate met),UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)","MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",70,0.2714285714285714,-0.8428571428571429,-1.1142857142857143,-0.7142857142857143,-0.4,0.0,-0.37142857142857144,-0.7428571428571429,0.7142857142857143,0.0,0.44285714285714284,0.8428571428571429,5,31,1.2913485988974571e-05,1,53,6.106226635438361e-15,57,1,4.0939474033052647e-16,0.37142857142857144,0.1,0.0,0.8428571428571429,1.0,False,,,,,,,,0.4,-0.7142857142857143,-1.2708464619492656,,-1.2857142857142858,-0.8142857142857143,-0.5285714285714286,-0.4857142857142857,-0.8571428571428571,0.2714285714285714,-0.8142857142857143,-1.4237654672445719,-0.9428571428571428,-0.6,-0.2714285714285714,-0.2571428571428571,-0.6285714285714286,0.5285714285714286,-0.6,-1.1105067825471429,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/B_keyword_t96.jsonl [set==S4hoc] pairs by semantic_id; reference channel qwen,
exp11,B_keyword_t96,S4hoc,polyguard,True,UNCERTIFIED (no refusal certification on disk),UNCERTIFIED (no refusal certification on disk),,,70,0.04285714285714286,-0.8714285714285714,-0.9142857142857143,-0.7142857142857143,-0.2,1.1102230246251565e-16,-0.24285714285714285,-0.6714285714285714,0.7142857142857143,0.0,0.6714285714285714,0.8714285714285714,4,34,6.038535502739251e-07,0,47,1.4210854715202004e-14,51,0,8.881784197001252e-16,0.24285714285714285,0.2,0.0,0.8714285714285714,1.0,False,,,,,,,,0.2,-0.7142857142857143,,,-1.0714285714285714,-0.8142857142857143,-0.3,-0.34285714285714286,-0.7857142857142857,0.1,-0.8142857142857143,,-0.7571428571428571,-0.6,-0.1,-0.14285714285714285,-0.5571428571428572,0.3,-0.6,,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/B_keyword_t96.jsonl [set==S4hoc] pairs by semantic_id; reference channel polyguard,
exp11,C_corrected,S5X,qwen,True,CERTIFIED (gate met),UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)","MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",100,0.77,-0.41,-1.18,-0.8,-0.38,2.220446049250313e-16,-0.78,-0.4,0.8,0.0,0.03,0.41,50,12,1.2143807700186297e-06,0,40,1.8189894035458565e-12,90,0,1.6155871338926322e-27,0.78,0.01,0.0,0.41,1.0,False,,,,,,,,0.38,-0.8,-1.3763047058078408,,-1.29,-0.88,-0.47,-0.86,-0.49,0.29,-0.88,-1.5326257717833296,-1.06,-0.72,-0.29,-0.7,-0.3,0.47,-0.72,-1.2122837776560191,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/C_corrected.jsonl [set==S5X] pairs by semantic_id; reference channel qwen,
exp11,C_corrected,S5X,polyguard,True,UNCERTIFIED (no refusal certification on disk),UNCERTIFIED (no refusal certification on disk),,,100,0.65,-0.71,-1.36,-0.8,-0.56,0.0,-0.7,-0.66,0.8,0.0,0.15,0.71,24,20,0.651587827208914,0,66,2.710505431213761e-20,90,0,1.6155871338926322e-27,0.7,0.05,0.0,0.71,1.0,False,,,,,,,,0.56,-0.8,,,-1.49,-0.88,-0.66,-0.79,-0.75,0.45,-0.88,,-1.23,-0.72,-0.45,-0.61,-0.56,0.66,-0.72,,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/C_corrected.jsonl [set==S5X] pairs by semantic_id; reference channel polyguard,
exp11,C_corrected,S4hoc,qwen,True,CERTIFIED (gate met),UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)","MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",70,0.34285714285714286,-0.5857142857142857,-0.9285714285714286,-0.5428571428571428,-0.38571428571428573,0.0,-0.45714285714285713,-0.4714285714285714,0.5428571428571428,0.0,0.2,0.5857142857142857,18,19,1.0,4,37,1.0258372640237212e-07,51,4,2.0474233419776056e-11,0.45714285714285713,0.11428571428571428,0.0,0.5857142857142857,1.0,False,,,,,,,,0.38571428571428573,-0.5428571428571428,-1.2098741906894501,,-1.1285714285714286,-0.6571428571428571,-0.5285714285714286,-0.5714285714285714,-0.6142857142857143,0.24285714285714285,-0.6571428571428571,-1.4547272727272729,-0.7285714285714285,-0.42857142857142855,-0.24285714285714285,-0.34285714285714286,-0.3282142857142877,0.5285714285714286,-0.42857142857142855,-0.9474047218603546,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/C_corrected.jsonl [set==S4hoc] pairs by semantic_id; reference channel qwen,
exp11,C_corrected,S4hoc,polyguard,True,UNCERTIFIED (no refusal certification on disk),UNCERTIFIED (no refusal certification on disk),,,70,-0.05714285714285714,-0.8,-0.7428571428571429,-0.5428571428571428,-0.2,0.0,-0.22857142857142856,-0.5142857142857142,0.5428571428571428,0.0,0.6,0.8,7,27,0.0008213953115046024,1,37,2.837623469531536e-10,43,1,5.115907697472721e-12,0.22857142857142856,0.2857142857142857,0.0,0.8,1.0,False,,,,,,,,0.2,-0.5428571428571428,,,-0.9142857142857143,-0.6571428571428571,-0.3142857142857143,-0.32857142857142857,-0.6428571428571429,0.08571428571428572,-0.6571428571428571,,-0.5714285714285714,-0.42857142857142855,-0.08571428571428572,-0.14285714285714285,-0.38571428571428573,0.3142857142857143,-0.42857142857142855,,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/C_corrected.jsonl [set==S4hoc] pairs by semantic_id; reference channel polyguard,
exp11,D_reselected_clf,S5X,qwen,True,CERTIFIED (gate met),UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)","MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",100,0.86,-0.35,-1.21,-0.91,-0.3,0.0,-0.86,-0.35,0.91,0.0,0.05,0.35,58,7,4.2705216207923607e-11,0,35,5.820766091346741e-11,93,0,2.0194839173657902e-28,0.86,0.0,0.0,0.35,1.0,False,,,,,,,,0.3,-0.91,-1.3976575463930583,,-1.32,-0.96,-0.4,-0.92,-0.45,0.21,-0.96,-1.55171689064441,-1.1,-0.85,-0.21,-0.79,-0.26,0.4,-0.85,-1.2271301009583828,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D_reselected_clf.jsonl [set==S5X] pairs by semantic_id; reference channel qwen,
exp11,D_reselected_clf,S5X,polyguard,True,UNCERTIFIED (no refusal certification on disk),UNCERTIFIED (no refusal certification on disk),,,100,0.78,-0.67,-1.45,-0.91,-0.54,2.220446049250313e-16,-0.79,-0.66,0.91,0.0,0.13,0.67,32,19,0.09191454981585423,0,66,2.710505431213761e-20,98,0,6.310887241768095e-30,0.79,0.01,0.0,0.67,1.0,False,,,,,,,,0.54,-0.91,,,-1.55,-0.96,-0.63,-0.86,-0.75,0.44,-0.96,,-1.34,-0.85,-0.44,-0.71,-0.56,0.63,-0.85,,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D_reselected_clf.jsonl [set==S5X] pairs by semantic_id; reference channel polyguard,
exp11,D_reselected_clf,S4hoc,qwen,True,CERTIFIED (gate met),UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)","MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",70,0.5142857142857142,-0.5857142857142857,-1.1,-0.7142857142857143,-0.38571428571428573,0.0,-0.5714285714285714,-0.5285714285714286,0.7142857142857143,0.0,0.2,0.5857142857142857,20,17,0.7428293587290682,2,39,7.839844329282641e-10,57,2,6.144390551909851e-15,0.5714285714285714,0.05714285714285714,0.0,0.5857142857142857,1.0,False,,,,,,,,0.38571428571428573,-0.7142857142857143,-1.3813027621180214,,-1.2714285714285714,-0.8142857142857143,-0.5285714285714286,-0.6857142857142857,-0.6571428571428571,0.24285714285714285,-0.8142857142857143,-1.6045149206642542,-0.9142857142857143,-0.6142857142857143,-0.24285714285714285,-0.45714285714285713,-0.4,0.5285714285714286,-0.6142857142857143,-1.1370326127296728,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D_reselected_clf.jsonl [set==S4hoc] pairs by semantic_id; reference channel qwen,
exp11,D_reselected_clf,S4hoc,polyguard,True,UNCERTIFIED (no refusal certification on disk),UNCERTIFIED (no refusal certification on disk),,,70,0.2,-0.8,-1.0,-0.7142857142857143,-0.2857142857142857,0.0,-0.35714285714285715,-0.6428571428571429,0.7142857142857143,0.0,0.5142857142857142,0.8,7,27,0.0008213953115046024,0,45,5.684341886080802e-14,52,0,4.440892098500626e-16,0.35714285714285715,0.15714285714285714,0.0,0.8,1.0,False,,,,,,,,0.2857142857142857,-0.7142857142857143,,,-1.1571428571428573,-0.8142857142857143,-0.4142857142857143,-0.4714285714285714,-0.7428571428571429,0.15714285714285714,-0.8142857142857143,,-0.8285714285714286,-0.6142857142857143,-0.15714285714285714,-0.2567857142857162,-0.5285714285714286,0.4142857142857143,-0.6142857142857143,,iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D_reselected_clf.jsonl [set==S4hoc] pairs by semantic_id; reference channel polyguard,
