artifact,judge_a,judge_b,scope,cell,lang,definition,n,kappa,kappa_ci_low,kappa_ci_high,raw_agreement,pabak,ac1,note
exp5,nemotron,keyword,pooled_orig,*,*,binary,582,0.7710400993857409,0.7131068994905664,0.8247695575105879,0.9020618556701031,0.8041237113402062,0.8295924735905319,
exp5,nemotron,keyword,pooled_edited,*,*,binary,268,0.38968658329473527,0.2596628256691496,0.5058127628383536,0.7798507462686567,0.5597014925373134,0.6572778602624819,
exp5,nemotron,keyword,cell_edited,gams:edit,*,binary,134,0.1493651979088872,-0.03956555469356088,0.3777089783281735,0.8731343283582089,0.7462686567164178,0.8517168429617575,
exp5,nemotron,keyword,cell_edited,gemma:edit,*,binary,134,0.3425233644859813,0.17062719223759198,0.5037665694252522,0.6865671641791045,0.3731343283582089,0.4030547305897327,
exp6,gpt41,qwen3_14b,pooled_all,*,*,binary,1130,0.874866611633479,0.8414297957132737,0.9058954085986083,0.9513274336283186,0.9026548672566372,0.9203709955675538,
exp6,gpt41,qwen3_14b,pooled_all,*,*,4class,1130,0.7023187108181185,0.6630556818125799,0.7397474134038619,0.8557522123893805,,0.8283173393521843,
exp6,gpt41,qwen3_14b,pooled_orig,*,*,binary,353,0.9428728638011392,0.9078172480563872,0.9716688871410456,0.9716713881019831,0.9433427762039661,0.9438336329933652,
exp6,gpt41,qwen3_14b,pooled_orig,*,*,4class,353,0.8767589064800618,0.8321017050612741,0.9226084669128015,0.9348441926345609,,0.9209323086162261,
exp6,gpt41,qwen3_14b,pooled_edited,*,*,binary,777,0.8024319544347571,0.7427468538586371,0.8555804992724375,0.9420849420849421,0.8841698841698842,0.9180887611876838,
exp6,gpt41,qwen3_14b,pooled_edited,*,*,4class,777,0.5770606531881802,0.5202563576311432,0.6312505772772207,0.8198198198198198,,0.7906910293910612,
exp6,gpt41,qwen3_14b,cell_edited,gams:E0_000,*,binary,60,0.8749999999999999,0.7222222222222221,1.0,0.95,0.8999999999999999,0.9168399168399167,
exp6,gpt41,qwen3_14b,cell_edited,gams:E0_000,*,4class,60,0.7398373983739839,0.5897843848215623,0.8889177356953777,0.8666666666666667,,0.8215447532298541,
exp6,gpt41,qwen3_14b,cell_edited,gams:E0_010,*,binary,61,0.9336235038084874,0.8306496390893946,1.0,0.9672131147540983,0.9344262295081966,0.9352785145888594,
exp6,gpt41,qwen3_14b,cell_edited,gams:E0_010,*,4class,61,0.8496055226824456,0.7111639712379844,0.9676392572944298,0.9180327868852459,,0.8874538745387455,
exp6,gpt41,qwen3_14b,cell_edited,gams:E0_020,*,binary,66,0.9385474860335196,0.8411934552454284,1.0,0.9696969696969697,0.9393939393939394,0.9402714932126698,
exp6,gpt41,qwen3_14b,cell_edited,gams:E0_020,*,4class,66,0.8160828025477709,0.6896916505580842,0.9414951740171904,0.8939393939393939,,0.851435002813731,
exp6,gpt41,qwen3_14b,cell_edited,gams:E0_030,*,binary,68,0.6506849315068494,0.3617621673341356,0.89171974522293,0.9117647058823529,0.8235294117647058,0.8822170900692841,
exp6,gpt41,qwen3_14b,cell_edited,gams:E0_030,*,4class,68,0.5119617224880382,0.28344717073136255,0.7229637509533942,0.8235294117647058,,0.785446657464011,
exp6,gpt41,qwen3_14b,cell_edited,gams:E0_040,*,binary,67,0.6265328874024528,0.23343211214875767,0.8914100486223663,0.9253731343283582,0.8507462686567164,0.9068538857222299,
exp6,gpt41,qwen3_14b,cell_edited,gams:E0_040,*,4class,67,0.4143356643356646,0.1980912703679502,0.6130376337681893,0.7761194029850746,,0.744220572640509,
exp6,gpt41,qwen3_14b,cell_edited,gams:E0_050,*,binary,59,0.8798370672097764,0.48695652173912946,1.0,0.9830508474576272,0.9661016949152543,0.980270857716101,
exp6,gpt41,qwen3_14b,cell_edited,gams:E0_050,*,4class,59,0.3868904876099121,0.1395751823607428,0.6163637688307028,0.7796610169491526,,0.7339807508887539,
exp6,gpt41,qwen3_14b,cell_edited,gams:E1_000,*,binary,64,0.9686888454011742,0.9036144578313253,1.0,0.984375,0.96875,0.9688185140073081,
exp6,gpt41,qwen3_14b,cell_edited,gams:E1_000,*,4class,64,0.8823529411764706,0.7730294540773832,0.9692159692159692,0.9375,,0.9149854711498547,
exp6,gpt41,qwen3_14b,cell_edited,gams:ETPE_088,*,binary,60,-0.022727272727271694,-0.0499999999999998,0.0,0.95,0.8999999999999999,0.9474375821287778,
exp6,gpt41,qwen3_14b,cell_edited,gams:ETPE_088,*,4class,60,0.04306220095693754,-0.0714285714285713,0.22415463779738018,0.8333333333333334,,0.8178644608029141,
exp6,gpt41,qwen3_14b,cell_edited,gams:core_stage0c,*,binary,272,0.041332906119834506,-0.05427061310782294,0.21538461538461542,0.9191176470588235,0.838235294117647,0.9116674539442607,
exp6,gpt41,qwen3_14b,cell_edited,gams:core_stage0c,*,4class,272,0.09870468922582601,0.03641456135448342,0.16605460509923284,0.7573529411764706,,0.7351046797878122,
exp6,gpt41,keyword,pooled_all,*,*,binary,1130,0.7728329851393431,0.7303403066488331,0.814635409261272,0.9097345132743363,0.8194690265486726,0.8502187071974551,
exp6,gpt41,keyword,pooled_orig,*,*,binary,353,0.8917649716784741,0.84140342862937,0.9372363295456383,0.9461756373937678,0.8923512747875355,0.8929321147783055,
exp6,gpt41,keyword,pooled_edited,*,*,binary,777,0.6490610392507905,0.5804198017010287,0.7173351370548031,0.8931788931788932,0.7863577863577864,0.846436288954371,
exp6,gpt41,keyword,cell_edited,gams:E0_000,*,binary,60,0.7083333333333334,0.4856403940886698,0.8860831415420023,0.8833333333333333,0.7666666666666666,0.8059598059598059,
exp6,gpt41,keyword,cell_edited,gams:E0_010,*,binary,61,0.801948051948052,0.6355241716458446,0.934054054054054,0.9016393442622951,0.8032786885245902,0.804591564335291,
exp6,gpt41,keyword,cell_edited,gams:E0_020,*,binary,66,0.847645429362881,0.7168596917244145,0.9693593314763231,0.9242424242424242,0.8484848484848484,0.849349463592787,
exp6,gpt41,keyword,cell_edited,gams:E0_030,*,binary,68,0.3828382838283829,0.064967082616179,0.6601152897657212,0.8382352941176471,0.6764705882352942,0.7810624908532122,
exp6,gpt41,keyword,cell_edited,gams:E0_040,*,binary,67,0.28533333333333283,-0.05018670148779915,0.6299603323949596,0.8805970149253731,0.7611940298507462,0.857332978440245,
exp6,gpt41,keyword,cell_edited,gams:E0_050,*,binary,59,0.15885947046843182,-0.09259259259259209,0.5630032800328002,0.8813559322033898,0.7627118644067796,0.8618960040127068,
exp6,gpt41,keyword,cell_edited,gams:E1_000,*,binary,64,0.90625,0.78125,1.0,0.953125,0.90625,0.9062728825970222,
exp6,gpt41,keyword,cell_edited,gams:ETPE_088,*,binary,60,-0.05263157894736787,-0.10526315789473645,0.0,0.8666666666666667,0.7333333333333334,0.8477157360406091,
exp6,gpt41,keyword,cell_edited,gams:core_stage0c,*,binary,272,-0.05164319248826363,-0.07067043517404624,-0.028355387523630975,0.8970588235294118,0.7941176470588236,0.8859197124026363,
exp6,qwen3_14b,keyword,pooled_all,*,*,binary,2140,0.8227495312980944,0.794998308795656,0.8515273912418131,0.930841121495327,0.8616822429906541,0.8866350157204789,
exp6,qwen3_14b,keyword,pooled_orig,*,*,binary,440,0.9077490774907749,0.8630987976091947,0.944863306011272,0.9545454545454546,0.9090909090909092,0.9104398624030614,
exp6,qwen3_14b,keyword,pooled_edited,*,*,binary,1700,0.7811741375183782,0.7430515410514743,0.8141286598229832,0.9247058823529412,0.8494117647058823,0.8852471984179301,
exp6,qwen3_14b,keyword,cell_edited,gams:E0_000,*,binary,80,0.8708635996771589,0.7259959783838129,0.9706041049513331,0.95,0.8999999999999999,0.9184089750127485,
exp6,qwen3_14b,keyword,cell_edited,gams:E0_010,*,binary,80,0.8969072164948453,0.7842211732973702,0.9749687108886106,0.95,0.8999999999999999,0.9029714978775013,
exp6,qwen3_14b,keyword,cell_edited,gams:E0_020,*,binary,80,0.9241466498103664,0.825,1.0,0.9625,0.925,0.9259373553463972,
exp6,qwen3_14b,keyword,cell_edited,gams:E0_030,*,binary,80,0.5820895522388059,0.24686192468619197,0.8208955223880597,0.9125,0.825,0.889338998122715,
exp6,qwen3_14b,keyword,cell_edited,gams:E0_040,*,binary,80,0.48717948717948745,0.1261070329149892,0.7500291601866254,0.9125,0.825,0.8945882352941176,
exp6,qwen3_14b,keyword,cell_edited,gams:E0_050,*,binary,80,0.34065934065934095,-0.058823529411765565,0.6429621848739497,0.8875,0.7749999999999999,0.8644705882352941,
exp6,qwen3_14b,keyword,cell_edited,gams:E1_000,*,binary,80,0.949906073888541,0.8730964467005077,1.0,0.975,0.95,0.9501246882793019,
exp6,qwen3_14b,keyword,cell_edited,gams:E1_010,*,binary,80,0.9418604651162793,0.8446526387367308,1.0,0.975,0.95,0.9561643835616438,
exp6,qwen3_14b,keyword,cell_edited,gams:E1_020,*,binary,80,0.2763157894736845,-0.0715023612750886,0.5833333333333329,0.8625,0.7250000000000001,0.8302632847912046,
exp6,qwen3_14b,keyword,cell_edited,gams:E1_030,*,binary,80,0.34328358208955273,0.02280130293159618,0.6363636363636364,0.8625,0.7250000000000001,0.8261041399071238,
exp6,qwen3_14b,keyword,cell_edited,gams:E1_040,*,binary,80,0.900187149095446,0.8008711885500932,0.9750000000000001,0.95,0.8999999999999999,0.9000624609618987,
exp6,qwen3_14b,keyword,cell_edited,gams:E1_050,*,binary,80,0.5428571428571425,0.21711847550607927,0.7892032452673187,0.9,0.8,0.872,
exp6,qwen3_14b,keyword,cell_edited,gams:E1_060,*,binary,80,0.9495268138801262,0.8720938866430162,1.0,0.975,0.95,0.9504950495049505,
exp6,qwen3_14b,keyword,cell_edited,gams:E1_070,*,binary,80,0.9241466498103664,0.825,1.0,0.9625,0.925,0.9259373553463972,
exp6,qwen3_14b,keyword,cell_edited,gams:E1_080,*,binary,80,0.8901098901098901,0.7672727272727271,0.9735177351686836,0.95,0.8999999999999999,0.9082568807339448,
exp6,qwen3_14b,keyword,cell_edited,gams:E1_090,*,binary,80,0.4852941176470588,0.09885122313964775,0.787234042553192,0.9125,0.825,0.8945882352941176,
exp6,qwen3_14b,keyword,cell_edited,gams:ETPE_088,*,binary,80,-0.02272727272727119,-0.058823529411765565,0.0,0.8875,0.7749999999999999,0.8741368761471898,
exp6,qwen3_14b,keyword,cell_edited,gams:core_stage0c,*,binary,340,0.1594896331738423,-0.0008176614881436588,0.3566326926163394,0.9088235294117647,0.8176470588235294,0.897769651941552,
exp7,gpt41,gemma_self,pooled_all,*,*,binary,164,0.9607154263813478,0.9119084705501849,1.0,0.9817073170731707,0.9634146341463414,0.9657679596451556,
exp7,gpt41,gemma_self,pooled_all,*,*,4class,164,0.806461129960171,0.730904782713699,0.8794321525708277,0.9024390243902439,,0.8829076737717354,
exp7,gpt41,gemma_self,pooled_orig,*,*,binary,164,0.9607154263813478,0.9119084705501849,1.0,0.9817073170731707,0.9634146341463414,0.9657679596451556,
exp7,gpt41,gemma_self,pooled_orig,*,*,4class,164,0.806461129960171,0.730904782713699,0.8794321525708277,0.9024390243902439,,0.8829076737717354,
exp7,gpt41,gemma_self,pooled_edited,*,*,binary,0,,,,,,,overlap < 30: not estimated
exp7,gpt41,gemma_self,pooled_edited,*,*,4class,0,,,,,,,overlap < 30: not estimated
exp7,gpt41,keyword,pooled_all,*,*,binary,164,0.6452059536171685,0.5164253900957455,0.7605220349235307,0.8475609756097561,0.6951219512195121,0.7365123228688024,
exp7,gpt41,keyword,pooled_orig,*,*,binary,164,0.6452059536171685,0.5164253900957455,0.7605220349235307,0.8475609756097561,0.6951219512195121,0.7365123228688024,
exp7,gpt41,keyword,pooled_edited,*,*,binary,0,,,,,,,overlap < 30: not estimated
exp7,gemma_self,keyword,pooled_all,*,*,binary,2296,0.6066803351742348,0.5768301187651048,0.6370198536701525,0.8066202090592335,0.613240418118467,0.6295657292775723,
exp7,gemma_self,keyword,pooled_orig,*,*,binary,164,0.6619137605222469,0.5373857950117833,0.7711570482250651,0.8536585365853658,0.7073170731707317,0.7459989674754774,
exp7,gemma_self,keyword,pooled_edited,*,*,binary,2132,0.6019261751411024,0.570818544182867,0.6348016889095215,0.8030018761726079,0.6060037523452158,0.6205881679981221,
exp7,gemma_self,keyword,cell_edited,gemma:E0_006,*,binary,164,0.5399884925201381,0.4175483003370397,0.6555644868066092,0.7621951219512195,0.524390243902439,0.5252551493783635,
exp7,gemma_self,keyword,cell_edited,gemma:E0_012,*,binary,164,0.48348264277715547,0.3725918841371772,0.5985234598988276,0.725609756097561,0.4512195121951219,0.4546462220580085,
exp7,gemma_self,keyword,cell_edited,gemma:E0_018,*,binary,164,0.5119047619047619,0.3764498008312058,0.6403015710465271,0.7682926829268293,0.5365853658536586,0.5677025527192009,
exp7,gemma_self,keyword,cell_edited,gemma:E0_023,*,binary,164,0.6405933917734322,0.5199420989621449,0.7545001924402317,0.8414634146341463,0.6829268292682926,0.7225764476252439,
exp7,gemma_self,keyword,cell_edited,gemma:E0_034,*,binary,164,0.6580958999305072,0.5312588852349247,0.7711202084108673,0.8536585365853658,0.7073170731707317,0.7481121208242671,
exp7,gemma_self,keyword,cell_edited,gemma:E0_038,*,binary,164,0.6465517241379309,0.5141698550386928,0.7706600387739437,0.8475609756097561,0.6951219512195121,0.7365123228688024,
exp7,gemma_self,keyword,cell_edited,gemma:E0_043,*,binary,164,0.47164948453608235,0.3521322475207826,0.5861123920699313,0.725609756097561,0.4512195121951219,0.4522174800519577,
exp7,gemma_self,keyword,cell_edited,gemma:E0_044,*,binary,164,0.6295180722891566,0.5103029106247577,0.7472658403915329,0.8353658536585366,0.6707317073170731,0.7107489303328216,
exp7,gemma_self,keyword,cell_edited,gemma:E0_048,*,binary,164,0.586206896551724,0.45556690500510727,0.7065712426805465,0.8170731707317073,0.6341463414634145,0.6773347324239243,
exp7,gemma_self,keyword,cell_edited,gemma:E1_002,*,binary,164,0.6129467296021577,0.48613138403694606,0.7338091746962713,0.8292682926829268,0.6585365853658536,0.7012361743656472,
exp7,gemma_self,keyword,cell_edited,gemma:E1_015,*,binary,164,0.5816993464052288,0.4578600733957629,0.7008778458249157,0.8048780487804879,0.6097560975609757,0.6454054054054055,
exp7,gemma_self,keyword,cell_edited,gemma:E1_021,*,binary,164,0.6278991596638654,0.5026433342681591,0.7472658403915329,0.8353658536585366,0.6707317073170731,0.7107489303328216,
exp7,gemma_self,keyword,cell_edited,gemma:ET_096,*,binary,164,0.5934081960040835,0.47086307496906155,0.7052653114907422,0.7926829268292683,0.5853658536585367,0.5875739644970414,
exp8,gpt41,qwen3_14b,pooled_all,*,*,binary,5298,0.7688952906101527,0.7515012781671273,0.785301557202351,0.8890147225368064,0.7780294450736127,0.7883850997412303,
exp8,gpt41,qwen3_14b,pooled_all,*,*,4class,5298,0.5662257070444224,0.549562919347735,0.5815660883590797,0.7225368063420159,,0.64948831599216,
exp8,gpt41,qwen3_14b,pooled_orig,*,*,binary,638,0.9716922530836809,0.9497832779906822,0.9874399682647743,0.9858934169278997,0.9717868338557993,0.9718814043627405,
exp8,gpt41,qwen3_14b,pooled_orig,*,*,4class,638,0.8466575666740738,0.8102643497435984,0.8815440696759999,0.9169278996865203,,0.8987125140598017,
exp8,gpt41,qwen3_14b,pooled_edited,*,*,binary,4660,0.7369598109484553,0.716492796235873,0.7566682575331971,0.8757510729613734,0.7515021459227469,0.7671737249938853,
exp8,gpt41,qwen3_14b,pooled_edited,*,*,4class,4660,0.5319139283397782,0.5141264795462123,0.549166936998924,0.6959227467811159,,0.6146815014176453,
exp8,gpt41,qwen3_14b,cell_edited,community:C0,*,binary,280,0.6200000000000002,0.45311570572739623,0.7540704528118711,0.9321428571428572,0.8642857142857143,0.9175353613640768,
exp8,gpt41,qwen3_14b,cell_edited,community:C0,*,4class,280,0.24627964853471476,0.17075116183642364,0.32519397486183227,0.6214285714285714,,0.5543844635122251,
exp8,gpt41,qwen3_14b,cell_edited,community:C1,*,binary,280,0.6247422680412372,0.40247138987509046,0.7944365205459667,0.9535714285714286,0.9071428571428573,0.9470349002175353,
exp8,gpt41,qwen3_14b,cell_edited,community:C1,*,4class,280,0.2467953116851032,0.1690075228762985,0.3309898541450376,0.65,,0.5938855903878363,
exp8,gpt41,qwen3_14b,cell_edited,community:C2,*,binary,61,0.4958677685950414,0.17567567567567569,0.7732342007434944,0.8688524590163934,0.7377049180327868,0.8247755834829443,
exp8,gpt41,qwen3_14b,cell_edited,community:C2,*,4class,61,0.0862183754993342,-0.0013851240319441075,0.18883971761440171,0.26229508196721313,,0.07106598984771575,
exp8,gpt41,qwen3_14b,cell_edited,gams3:G1,*,binary,186,0.8696931483816729,0.7843663176793004,0.9402807923416117,0.946236559139785,0.89247311827957,0.9085545722713865,
exp8,gpt41,qwen3_14b,cell_edited,gams3:G1,*,4class,186,0.7245755989211485,0.6345006581150603,0.8081726205005335,0.8494623655913979,,0.8161806662627284,
exp8,gpt41,qwen3_14b,cell_edited,gemma:A1,*,binary,444,0.6968742122510714,0.6332522313889228,0.7573458106483856,0.8536036036036037,0.7072072072072073,0.7216126402909274,
exp8,gpt41,qwen3_14b,cell_edited,gemma:A1,*,4class,444,0.5252045460197458,0.46427813501574805,0.584596779915717,0.7094594594594594,,0.6377622923085517,
exp8,gpt41,qwen3_14b,cell_edited,gemma:A10,*,binary,222,0.510106805543296,0.402720546564622,0.6192914071419097,0.7747747747747747,0.5495495495495495,0.5990463805808409,
exp8,gpt41,qwen3_14b,cell_edited,gemma:A10,*,4class,222,0.3356434084107734,0.25226967207884127,0.4255675030384259,0.6576576576576577,,0.590002794551839,
exp8,gpt41,qwen3_14b,cell_edited,gemma:A2,*,binary,443,0.7310865801839069,0.6633830886827744,0.7926518948296949,0.8781038374717833,0.7562076749435667,0.7792134675908409,
exp8,gpt41,qwen3_14b,cell_edited,gemma:A2,*,4class,443,0.5552356455360107,0.49277371422883043,0.6135077221468952,0.7268623024830699,,0.6587560358922722,
exp8,gpt41,qwen3_14b,cell_edited,gemma:A3,*,binary,444,0.9637262310818814,0.9366245451964862,0.9864034579213353,0.9819819819819819,0.9639639639639639,0.9641993226898886,
exp8,gpt41,qwen3_14b,cell_edited,gemma:A3,*,4class,444,0.8348137469190345,0.787505689248133,0.8826378722915749,0.9099099099099099,,0.889999060615101,
exp8,gpt41,qwen3_14b,cell_edited,gemma:A3_c0.5,*,binary,32,1.0,1.0,1.0,1.0,1.0,1.0,
exp8,gpt41,qwen3_14b,cell_edited,gemma:A3_c0.5,*,4class,32,1.0,1.0,1.0,1.0,1.0,1.0,
exp8,gpt41,qwen3_14b,cell_edited,gemma:A4,*,binary,444,0.8021817789058703,0.7349577783605858,0.863419330588811,0.9256756756756757,0.8513513513513513,0.8812954448787799,
exp8,gpt41,qwen3_14b,cell_edited,gemma:A4,*,4class,444,0.404397868508623,0.3491441207163589,0.45847012839418577,0.5923423423423423,,0.4783957595261919,
exp8,gpt41,qwen3_14b,cell_edited,gemma:A5,*,binary,96,0.46887966804979253,0.3002272789506832,0.6219165095740619,0.75,0.5,0.5499999999999999,
