line,token,context
66,0.70," 0.96) but failed for GaMS3 (Spearman 0.51, AUROC 0.70). The GaMS3 failure means the"
68,5.1,ploratory. The baseline English refusal score was 5.1 (arbitrary units); Slovene wa
68,2.0,usal score was 5.1 (arbitrary units); Slovene was 2.0. The 15 ablation conditions s
68,15,e was 5.1 (arbitrary units); Slovene was 2.0. The 15 ablation conditions showed va
70,99%,) at inference removed most English refusal (from 99% to low values depending on th
70,0.85,"n the condition), but Slovene refusal survived at 0.85 residual on a matched-efficac"
72,2,motivating the confirmatory analyses in iteration 2.
80,2,## Iteration 2
82,2,Iteration 2 built on the screen results f
82,1,tion 2 built on the screen results from iteration 1 by running five pre-registere
84,5,### Experiment 5: Utility and mechanism [ARTIF
88,257,"#### T1: Harmful behaviour (S4 harmful items, 257 per cell)"
90,257,"dged refusal rates on held-out harmful items (S4, 257 items per model × checkpoint "
90,4.1,items per model × checkpoint × language). The gpt-4.1 judge labelled a random ~52% 
90,52%,× language). The gpt-4.1 judge labelled a random ~52% subsample; remaining items us
90,3,g items used a second-family free judge (Nemotron-3-ultra-550b); markers show the
90,550,used a second-family free judge (Nemotron-3-ultra-550b); markers show the Heretic k
90,257,0b); markers show the Heretic keyword rule on all 257.
92,95%,| Model | Ckpt | Lang | Refused % [95% CI] | Complied % [95% CI] |
92,95%, | Ckpt | Lang | Refused % [95% CI] | Complied % [95% CI] |
94,100.0,"| GaMS3 | orig | EN | 100.0 [100.0, 100.0] | 0.0 [0.0, 0."
94,100.0,"| GaMS3 | orig | EN | 100.0 [100.0, 100.0] | 0.0 [0.0, 0.0] |"
94,100.0,"| GaMS3 | orig | EN | 100.0 [100.0, 100.0] | 0.0 [0.0, 0.0] |"
94,0.0,"| GaMS3 | orig | EN | 100.0 [100.0, 100.0] | 0.0 [0.0, 0.0] |"
94,0.0,"| GaMS3 | orig | EN | 100.0 [100.0, 100.0] | 0.0 [0.0, 0.0] |"
94,0.0,"S3 | orig | EN | 100.0 [100.0, 100.0] | 0.0 [0.0, 0.0] |"
95,100.0,"| GaMS3 | orig | SL | 100.0 [100.0, 100.0] | 0.0 [0.0, 0."
95,100.0,"| GaMS3 | orig | SL | 100.0 [100.0, 100.0] | 0.0 [0.0, 0.0] |"
95,100.0,"| GaMS3 | orig | SL | 100.0 [100.0, 100.0] | 0.0 [0.0, 0.0] |"
95,0.0,"| GaMS3 | orig | SL | 100.0 [100.0, 100.0] | 0.0 [0.0, 0.0] |"
95,0.0,"| GaMS3 | orig | SL | 100.0 [100.0, 100.0] | 0.0 [0.0, 0.0] |"
95,0.0,"S3 | orig | SL | 100.0 [100.0, 100.0] | 0.0 [0.0, 0.0] |"
96,5.6,"| GaMS3 | edit | EN | 5.6 [2.4, 9.5] | 92.9 [88.1, 96.8"
96,2.4,"| GaMS3 | edit | EN | 5.6 [2.4, 9.5] | 92.9 [88.1, 96.8] |"
96,9.5,"| GaMS3 | edit | EN | 5.6 [2.4, 9.5] | 92.9 [88.1, 96.8] |"
96,92.9,"| GaMS3 | edit | EN | 5.6 [2.4, 9.5] | 92.9 [88.1, 96.8] |"
96,88.1,"| GaMS3 | edit | EN | 5.6 [2.4, 9.5] | 92.9 [88.1, 96.8] |"
96,96.8," GaMS3 | edit | EN | 5.6 [2.4, 9.5] | 92.9 [88.1, 96.8] |"
97,6.7,"| GaMS3 | edit | SL | 6.7 [3.0, 11.1] | 89.6 [84.4, 94."
97,3.0,"| GaMS3 | edit | SL | 6.7 [3.0, 11.1] | 89.6 [84.4, 94.1] |"
97,11.1,"| GaMS3 | edit | SL | 6.7 [3.0, 11.1] | 89.6 [84.4, 94.1] |"
97,89.6,"| GaMS3 | edit | SL | 6.7 [3.0, 11.1] | 89.6 [84.4, 94.1] |"
97,84.4,"| GaMS3 | edit | SL | 6.7 [3.0, 11.1] | 89.6 [84.4, 94.1] |"
97,94.1,"GaMS3 | edit | SL | 6.7 [3.0, 11.1] | 89.6 [84.4, 94.1] |"
98,99.3,"| Gemma | orig | EN | 99.3 [97.8, 100.0] | 0.7 [0.0, 2.2"
98,97.8,"| Gemma | orig | EN | 99.3 [97.8, 100.0] | 0.7 [0.0, 2.2] |"
98,100.0,"| Gemma | orig | EN | 99.3 [97.8, 100.0] | 0.7 [0.0, 2.2] |"
98,0.7,"| Gemma | orig | EN | 99.3 [97.8, 100.0] | 0.7 [0.0, 2.2] |"
98,0.0,"| Gemma | orig | EN | 99.3 [97.8, 100.0] | 0.7 [0.0, 2.2] |"
98,2.2,"emma | orig | EN | 99.3 [97.8, 100.0] | 0.7 [0.0, 2.2] |"
99,99.2,"| Gemma | orig | SL | 99.2 [97.6, 100.0] | 0.8 [0.0, 2.4"
99,97.6,"| Gemma | orig | SL | 99.2 [97.6, 100.0] | 0.8 [0.0, 2.4] |"
99,100.0,"| Gemma | orig | SL | 99.2 [97.6, 100.0] | 0.8 [0.0, 2.4] |"
99,0.8,"| Gemma | orig | SL | 99.2 [97.6, 100.0] | 0.8 [0.0, 2.4] |"
99,0.0,"| Gemma | orig | SL | 99.2 [97.6, 100.0] | 0.8 [0.0, 2.4] |"
99,2.4,"emma | orig | SL | 99.2 [97.6, 100.0] | 0.8 [0.0, 2.4] |"
100,70.3,"| Gemma | edit | EN | 70.3 [61.9, 78.0] | 24.6 [16.9, 32"
100,61.9,"| Gemma | edit | EN | 70.3 [61.9, 78.0] | 24.6 [16.9, 32.2] |"
100,78.0,"| Gemma | edit | EN | 70.3 [61.9, 78.0] | 24.6 [16.9, 32.2] |"
100,24.6,"| Gemma | edit | EN | 70.3 [61.9, 78.0] | 24.6 [16.9, 32.2] |"
100,16.9,"| Gemma | edit | EN | 70.3 [61.9, 78.0] | 24.6 [16.9, 32.2] |"
100,32.2,"mma | edit | EN | 70.3 [61.9, 78.0] | 24.6 [16.9, 32.2] |"
101,95.3,"| Gemma | edit | SL | 95.3 [92.0, 98.7] | 4.0 [1.3, 7.3]"
101,92.0,"| Gemma | edit | SL | 95.3 [92.0, 98.7] | 4.0 [1.3, 7.3] |"
101,98.7,"| Gemma | edit | SL | 95.3 [92.0, 98.7] | 4.0 [1.3, 7.3] |"
101,4.0,"| Gemma | edit | SL | 95.3 [92.0, 98.7] | 4.0 [1.3, 7.3] |"
101,1.3,"| Gemma | edit | SL | 95.3 [92.0, 98.7] | 4.0 [1.3, 7.3] |"
101,7.3,"Gemma | edit | SL | 95.3 [92.0, 98.7] | 4.0 [1.3, 7.3] |"
103,100%,"For GaMS3, the edit reduced refusal from 100% to ~6% in both languages, wit"
103,6%,"For GaMS3, the edit reduced refusal from 100% to ~6% in both languages, with no me"
103,99%," For Gemma, the edit reduced English refusal from 99% to 70% but left Slovene refus"
103,70%,"mma, the edit reduced English refusal from 99% to 70% but left Slovene refusal at 9"
103,95%,fusal from 99% to 70% but left Slovene refusal at 95%. This 25-percentage-point gap
103,25, 99% to 70% but left Slovene refusal at 95%. This 25-percentage-point gap (70.3% v
103,70.3%,ene refusal at 95%. This 25-percentage-point gap (70.3% vs. 95.3%) confirms the patte
103,95.3%,l at 95%. This 25-percentage-point gap (70.3% vs. 95.3%) confirms the pattern seen in
103,1,95.3%) confirms the pattern seen in the iteration-1 screen: the English-tuned Her
105,4.1,Judge agreement: second judge vs. gpt-4.1 on a stratified sample of 200
105,200,"econd judge vs. gpt-4.1 on a stratified sample of 200 gave 6-way kappa 0.765, refus"
105,6,"ge vs. gpt-4.1 on a stratified sample of 200 gave 6-way kappa 0.765, refused-vs-n"
105,0.765,".1 on a stratified sample of 200 gave 6-way kappa 0.765, refused-vs-not kappa 0.828, "
105,0.828," 200 gave 6-way kappa 0.765, refused-vs-not kappa 0.828, raw agreement 0.885."
105,0.885," 0.765, refused-vs-not kappa 0.828, raw agreement 0.885."
107,128,"#### T2: KL divergence on harmless twins (S4, 128-token generations)"
109,95%,| Model | Ckpt | Lang | KL1 median [95% CI] | KL32 median [95% CI] | 
109,95%, Ckpt | Lang | KL1 median [95% CI] | KL32 median [95% CI] | Benign refusal % | Malf
111,0,| GaMS3 | orig | EN | 0 (ref) | 0 (ref) | 0.0 | 0.0 |
111,0,| GaMS3 | orig | EN | 0 (ref) | 0 (ref) | 0.0 | 0.0 | 0.0 |
111,0.0,| GaMS3 | orig | EN | 0 (ref) | 0 (ref) | 0.0 | 0.0 | 0.0 |
111,0.0,| GaMS3 | orig | EN | 0 (ref) | 0 (ref) | 0.0 | 0.0 | 0.0 |
111,0.0,MS3 | orig | EN | 0 (ref) | 0 (ref) | 0.0 | 0.0 | 0.0 |
112,0,| GaMS3 | orig | SL | 0 (ref) | 0 (ref) | 0.0 | 0.0 |
112,0,| GaMS3 | orig | SL | 0 (ref) | 0 (ref) | 0.0 | 0.0 | 0.0 |
112,0.0,| GaMS3 | orig | SL | 0 (ref) | 0 (ref) | 0.0 | 0.0 | 0.0 |
112,0.0,| GaMS3 | orig | SL | 0 (ref) | 0 (ref) | 0.0 | 0.0 | 0.0 |
112,0.0,MS3 | orig | SL | 0 (ref) | 0 (ref) | 0.0 | 0.0 | 0.0 |
113,0.0441,"| GaMS3 | edit | EN | 0.0441 [0.0323, 0.0530] | 0.0228 [0."
113,0.0323,"| GaMS3 | edit | EN | 0.0441 [0.0323, 0.0530] | 0.0228 [0.0196, 0."
113,0.0530,"| GaMS3 | edit | EN | 0.0441 [0.0323, 0.0530] | 0.0228 [0.0196, 0.0250] | "
113,0.0228,"| GaMS3 | edit | EN | 0.0441 [0.0323, 0.0530] | 0.0228 [0.0196, 0.0250] | 0.0 | 0.0 "
113,0.0196,"3 | edit | EN | 0.0441 [0.0323, 0.0530] | 0.0228 [0.0196, 0.0250] | 0.0 | 0.0 | 0.0 |"
113,0.0250," | EN | 0.0441 [0.0323, 0.0530] | 0.0228 [0.0196, 0.0250] | 0.0 | 0.0 | 0.0 |"
113,0.0,"0441 [0.0323, 0.0530] | 0.0228 [0.0196, 0.0250] | 0.0 | 0.0 | 0.0 |"
113,0.0,"0.0323, 0.0530] | 0.0228 [0.0196, 0.0250] | 0.0 | 0.0 | 0.0 |"
113,0.0,", 0.0530] | 0.0228 [0.0196, 0.0250] | 0.0 | 0.0 | 0.0 |"
114,0.0174,"| GaMS3 | edit | SL | 0.0174 [0.0152, 0.0211] | 0.0068 [0."
114,0.0152,"| GaMS3 | edit | SL | 0.0174 [0.0152, 0.0211] | 0.0068 [0.0061, 0."
114,0.0211,"| GaMS3 | edit | SL | 0.0174 [0.0152, 0.0211] | 0.0068 [0.0061, 0.0086] | "
114,0.0068,"| GaMS3 | edit | SL | 0.0174 [0.0152, 0.0211] | 0.0068 [0.0061, 0.0086] | 0.0 | 0.0 "
114,0.0061,"3 | edit | SL | 0.0174 [0.0152, 0.0211] | 0.0068 [0.0061, 0.0086] | 0.0 | 0.0 | 0.0 |"
114,0.0086," | SL | 0.0174 [0.0152, 0.0211] | 0.0068 [0.0061, 0.0086] | 0.0 | 0.0 | 0.0 |"
114,0.0,"0174 [0.0152, 0.0211] | 0.0068 [0.0061, 0.0086] | 0.0 | 0.0 | 0.0 |"
114,0.0,"0.0152, 0.0211] | 0.0068 [0.0061, 0.0086] | 0.0 | 0.0 | 0.0 |"
114,0.0,", 0.0211] | 0.0068 [0.0061, 0.0086] | 0.0 | 0.0 | 0.0 |"
115,0,| Gemma | orig | EN | 0 (ref) | 0 (ref) | 0.0 | 0.0 |
115,0,| Gemma | orig | EN | 0 (ref) | 0 (ref) | 0.0 | 0.0 | 0.0 |
115,0.0,| Gemma | orig | EN | 0 (ref) | 0 (ref) | 0.0 | 0.0 | 0.0 |
115,0.0,| Gemma | orig | EN | 0 (ref) | 0 (ref) | 0.0 | 0.0 | 0.0 |
115,0.0,mma | orig | EN | 0 (ref) | 0 (ref) | 0.0 | 0.0 | 0.0 |
116,0,| Gemma | orig | SL | 0 (ref) | 0 (ref) | 9.5 | 0.4 |
116,0,| Gemma | orig | SL | 0 (ref) | 0 (ref) | 9.5 | 0.4 | 0.0 |
116,9.5,| Gemma | orig | SL | 0 (ref) | 0 (ref) | 9.5 | 0.4 | 0.0 |
116,0.4,| Gemma | orig | SL | 0 (ref) | 0 (ref) | 9.5 | 0.4 | 0.0 |
116,0.0,mma | orig | SL | 0 (ref) | 0 (ref) | 9.5 | 0.4 | 0.0 |
117,0.0000,"| Gemma | edit | EN | 0.0000 [0.0000, 0.0000] | 0.0150 [0."
117,0.0000,"| Gemma | edit | EN | 0.0000 [0.0000, 0.0000] | 0.0150 [0.0125, 0."
117,0.0000,"| Gemma | edit | EN | 0.0000 [0.0000, 0.0000] | 0.0150 [0.0125, 0.0171] | "
117,0.0150,"| Gemma | edit | EN | 0.0000 [0.0000, 0.0000] | 0.0150 [0.0125, 0.0171] | 0.0 | 0.0 "
117,0.0125,"a | edit | EN | 0.0000 [0.0000, 0.0000] | 0.0150 [0.0125, 0.0171] | 0.0 | 0.0 | 0.0 |"
117,0.0171," | EN | 0.0000 [0.0000, 0.0000] | 0.0150 [0.0125, 0.0171] | 0.0 | 0.0 | 0.0 |"
117,0.0,"0000 [0.0000, 0.0000] | 0.0150 [0.0125, 0.0171] | 0.0 | 0.0 | 0.0 |"
117,0.0,"0.0000, 0.0000] | 0.0150 [0.0125, 0.0171] | 0.0 | 0.0 | 0.0 |"
117,0.0,", 0.0000] | 0.0150 [0.0125, 0.0171] | 0.0 | 0.0 | 0.0 |"
118,0.0113,"| Gemma | edit | SL | 0.0113 [0.0083, 0.0163] | 0.0037 [0."
118,0.0083,"| Gemma | edit | SL | 0.0113 [0.0083, 0.0163] | 0.0037 [0.0030, 0."
118,0.0163,"| Gemma | edit | SL | 0.0113 [0.0083, 0.0163] | 0.0037 [0.0030, 0.0046] | "
118,0.0037,"| Gemma | edit | SL | 0.0113 [0.0083, 0.0163] | 0.0037 [0.0030, 0.0046] | 0.0 | 0.4 "
118,0.0030,"a | edit | SL | 0.0113 [0.0083, 0.0163] | 0.0037 [0.0030, 0.0046] | 0.0 | 0.4 | 0.0 |"
118,0.0046," | SL | 0.0113 [0.0083, 0.0163] | 0.0037 [0.0030, 0.0046] | 0.0 | 0.4 | 0.0 |"
118,0.0,"0113 [0.0083, 0.0163] | 0.0037 [0.0030, 0.0046] | 0.0 | 0.4 | 0.0 |"
118,0.4,"0.0083, 0.0163] | 0.0037 [0.0030, 0.0046] | 0.0 | 0.4 | 0.0 |"
118,0.0,", 0.0163] | 0.0037 [0.0030, 0.0046] | 0.0 | 0.4 | 0.0 |"
120,0.011,KL1 values ranged from 0.011 to 0.044. Gemma EN edit showe
