checkpoint,dataset,definition,judges,n_judges,gap_min,gap_max,llm_gap_min,llm_gap_max,widest_ci,sign_stable,sign_of_points_stable
gams_edit,exp6 core JBB,strict,"gpt41,keyword,qwen3_14b",3,-0.15294117647058825,0.05077805077805078,-0.15294117647058825,0.05077805077805078,"[-0.235, 0.112]",False,False
gams_edit,iter-1 exp1 harmful_behaviors,strict,keyword,1,-0.06,-0.06,,,"[-0.120, 0.000]",False,True
gams_orig,"exp4 S5 (RefusEU, unpaired)",broad,"gpt41,qwen3_14b",2,-0.11428571428571432,-0.03448275862068961,-0.11428571428571432,-0.03448275862068961,"[-0.156, 0.000]",False,True
gams_orig,"exp4 S5 (RefusEU, unpaired)",strict,"gpt41,keyword,qwen3_14b",3,-0.11428571428571432,-0.051724137931034475,-0.11428571428571432,-0.051724137931034475,"[-0.158, 0.000]",False,True
gams_orig,"exp4 S5X (paired, verified translations)",broad,"qwen3_14b,gpt41",2,-0.030000000000000027,0.0,-0.030000000000000027,0.0,"[-0.070, 0.000]",False,False
gams_orig,"exp4 S5X (paired, verified translations)",strict,"qwen3_14b,gpt41,keyword",3,-0.030000000000000027,0.0,-0.030000000000000027,0.0,"[-0.070, 0.020]",False,False
gams_orig,exp5 S4 harmful (twins),broad,"gpt41,nemotron",2,0.0,0.0,0.0,0.0,"[0.000, 0.000]",False,False
gams_orig,exp5 S4 harmful (twins),strict,"gpt41,keyword,nemotron",3,0.0,0.01945525291828787,0.0,0.0,"[-0.008, 0.047]",False,False
gams_orig,iter-1 exp1 harmful_behaviors,strict,keyword,1,-0.010000000000000009,-0.010000000000000009,,,"[-0.050, 0.020]",False,True
gemma_edit,"exp4 S5 (RefusEU, unpaired)",broad,"gpt41,qwen3_14b",2,-0.03869687660010246,0.03663003663003661,-0.03869687660010246,0.03663003663003661,"[-0.118, 0.191]",False,False
gemma_edit,"exp4 S5 (RefusEU, unpaired)",strict,"gpt41,keyword,qwen3_14b",3,0.04999999999999993,0.5448717948717949,0.45254736303123405,0.5448717948717949,"[-0.005, 0.708]",False,True
gemma_edit,"exp4 S5X (paired, verified translations)",broad,"qwen3_14b,gpt41",2,0.0,0.22999999999999998,0.0,0.22999999999999998,"[0.140, 0.320]",True,False
gemma_edit,"exp4 S5X (paired, verified translations)",strict,"qwen3_14b,gpt41,keyword",3,0.06000000000000005,0.69,0.5,0.69,"[-0.020, 0.780]",False,True
gemma_edit,exp5 S4 harmful (twins),broad,"gpt41,nemotron",2,0.2026780279975654,0.21423728813559317,0.2026780279975654,0.21423728813559317,"[0.020, 0.384]",True,True
gemma_edit,exp5 S4 harmful (twins),strict,"gpt41,keyword,nemotron",3,0.22154595252586728,0.5875486381322956,0.22154595252586728,0.24994350282485878,"[0.041, 0.650]",True,True
gemma_edit,exp7 ET_096 JBB (self-judge),broad,gemma_self,1,0.04878048780487809,0.04878048780487809,0.04878048780487809,0.04878048780487809,"[0.000, 0.122]",False,True
gemma_edit,exp7 ET_096 JBB (self-judge),strict,"gemma_self,keyword",2,0.3414634146341463,0.7073170731707317,0.7073170731707317,0.7073170731707317,"[0.195, 0.854]",True,True
gemma_edit,exp8 W0 S4-hoc,broad,"gpt41,qwen3_14b",2,0.02857142857142858,0.37142857142857144,0.02857142857142858,0.37142857142857144,"[0.000, 0.500]",False,True
gemma_edit,exp8 W0 S4-hoc,strict,"gpt41,keyword,qwen3_14b",3,0.22857142857142865,0.49999999999999994,0.22857142857142865,0.49999999999999994,"[0.114, 0.614]",True,True
gemma_edit,iter-1 exp1 harmful_behaviors,strict,keyword,1,0.21000000000000008,0.21000000000000008,,,"[0.110, 0.310]",True,True
gemma_orig,"exp4 S5 (RefusEU, unpaired)",broad,"gpt41,qwen3_14b",2,-0.04285714285714293,-0.019607843137254943,-0.04285714285714293,-0.019607843137254943,"[-0.074, 0.000]",False,True
gemma_orig,"exp4 S5 (RefusEU, unpaired)",strict,"gpt41,keyword,qwen3_14b",3,-0.07843137254901966,-0.017857142857142905,-0.07843137254901966,-0.03214285714285714,"[-0.157, 0.002]",False,True
gemma_orig,"exp4 S5X (paired, verified translations)",broad,"qwen3_14b,gpt41",2,0.0,0.0,0.0,0.0,"[-0.030, 0.030]",False,False
gemma_orig,"exp4 S5X (paired, verified translations)",strict,"qwen3_14b,gpt41,keyword",3,0.0,0.030000000000000027,0.0,0.030000000000000027,"[0.000, 0.070]",False,False
gemma_orig,exp5 S4 harmful (twins),broad,"gpt41,nemotron",2,-0.0006571087216248328,0.004778972520908087,-0.0006571087216248328,0.004778972520908087,"[-0.090, 0.107]",False,False
gemma_orig,exp5 S4 harmful (twins),strict,"gpt41,keyword,nemotron",3,-0.0006571087216248328,0.07392996108949423,-0.0006571087216248328,0.004778972520908087,"[-0.090, 0.109]",False,False
gemma_orig,iter-1 exp1 harmful_behaviors,strict,keyword,1,-0.030000000000000027,-0.030000000000000027,,,"[-0.070, 0.000]",False,True
