cell,lang,role,n_overlap,gpt41_refused,qwen_refused,qwen_minus_gpt41,ci_low,ci_high
gemma:A7,en,harmful,111,0.2072072072072072,0.5855855855855856,0.3783783783783784,0.2882882882882883,0.4774774774774775
gemma:A7,en,harmless,111,0.009009009009009009,0.009009009009009009,0.0,-0.02702702702702703,0.02702702702702703
gemma:A7,sl,harmful,111,0.8468468468468469,0.9009009009009009,0.05405405405405406,0.009009009009009009,0.10810810810810811
gemma:A7,sl,harmless,111,0.15315315315315314,0.18018018018018017,0.02702702702702703,-0.009009009009009009,0.07207207207207207
gemma:A8,en,harmful,38,0.3684210526315789,0.631578947368421,0.2631578947368421,0.10526315789473684,0.42105263157894735
gemma:A8,sl,harmful,46,0.8260869565217391,0.8695652173913043,0.04347826086956519,0.0,0.10869565217391304
gemma:A9,en,harmful,52,0.11538461538461539,0.6730769230769231,0.5576923076923077,0.4230769230769231,0.6923076923076923
gemma:A9,sl,harmful,54,0.7407407407407407,0.8703703703703703,0.12962962962962965,0.037037037037037035,0.2222222222222222
gemma:ADD,en,harmless,36,0.1111111111111111,0.1388888888888889,0.02777777777777779,0.0,0.08333333333333333
gemma:ADD,sl,harmless,44,0.5227272727272727,0.6363636363636364,0.11363636363636365,0.022727272727272728,0.20454545454545456
gemma:W0,en,harmful,70,0.38571428571428573,0.7,0.3142857142857142,0.21428571428571427,0.4142857142857143
gemma:W0,en,harmless,70,0.0,0.0,0.0,0.0,0.0
gemma:W0,sl,harmful,70,0.8857142857142857,0.9285714285714286,0.04285714285714293,-0.014285714285714285,0.1
gemma:W0,sl,harmless,70,0.07142857142857142,0.11428571428571428,0.04285714285714286,0.0,0.1
gemma:W1,en,harmful,70,0.22857142857142856,0.7285714285714285,0.5,0.37142857142857144,0.6142857142857143
gemma:W1,en,harmless,70,0.0,0.0,0.0,0.0,0.0
gemma:W1,sl,harmful,70,0.7571428571428571,0.8142857142857143,0.05714285714285716,0.0,0.12857142857142856
gemma:W1,sl,harmless,70,0.04285714285714286,0.05714285714285714,0.014285714285714284,0.0,0.04285714285714286
gemma:W2,en,harmful,31,0.4838709677419355,0.7096774193548387,0.22580645161290325,0.06451612903225806,0.3870967741935484
gemma:W2,sl,harmful,32,0.9375,0.96875,0.03125,0.0,0.09375
gemma:X1,en,harmful,36,0.027777777777777776,0.3611111111111111,0.3333333333333333,0.19444444444444445,0.4722222222222222
gemma:X1,sl,harmful,42,0.09523809523809523,0.2857142857142857,0.19047619047619047,0.07142857142857142,0.30952380952380953
gemma:X2,en,harmful,51,0.0196078431372549,0.4117647058823529,0.39215686274509803,0.2549019607843137,0.5294117647058824
gemma:X2,sl,harmful,42,0.0,0.30952380952380953,0.30952380952380953,0.16666666666666666,0.4523809523809524
gemma:X4,en,harmful,46,0.043478260869565216,0.5869565217391305,0.5434782608695653,0.41304347826086957,0.6956521739130435
gemma:X4,sl,harmful,53,0.7547169811320755,0.8113207547169812,0.05660377358490565,0.0,0.1320754716981132
gemma:Yc36_1_36,en,harmful,3,0.0,0.6666666666666666,0.6666666666666666,,
