claim_id,statement,tier,value,ci,p_holm,status,source_path,note
gap.exp10.E1_STR2,SL-EN strict harmful-refusal gap in exp10:E1_STR2,descriptive,0.072072072072072,"[-0.027, 0.180]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;rogan_gladen
gap.exp10.E2_B3,SL-EN strict harmful-refusal gap in exp10:E2_B3,descriptive,-0.1441441441441441,"[-0.279, -0.018]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;classifier
gap.exp10.E3_ALL,SL-EN strict harmful-refusal gap in exp10:E3_ALL,descriptive,-0.2072072072072072,"[-0.324, -0.081]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;classifier
gap.exp10.E3_B2,SL-EN strict harmful-refusal gap in exp10:E3_B2,descriptive,-0.1801801801801801,"[-0.297, -0.072]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;classifier
gap.exp10.E3_B3,SL-EN strict harmful-refusal gap in exp10:E3_B3,descriptive,-0.2252252252252252,"[-0.351, -0.090]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;classifier
gap.exp10.E3_PC_ALL,SL-EN strict harmful-refusal gap in exp10:E3_PC_ALL,descriptive,-0.0720720720720721,"[-0.135, 0.000]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp10.GRID_ALL_c1.0,SL-EN strict harmful-refusal gap in exp10:GRID_ALL_c1.0,descriptive,-0.1707317073170731,"[-0.317, -0.024]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;classifier
gap.exp10.GRID_B2_c1.0,SL-EN strict harmful-refusal gap in exp10:GRID_B2_c1.0,descriptive,-0.2439024390243902,"[-0.439, -0.048]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;classifier
gap.exp10.GRID_B3_c1.0,SL-EN strict harmful-refusal gap in exp10:GRID_B3_c1.0,descriptive,-0.3170731707317073,"[-0.488, -0.122]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;classifier
gap.exp10.GRID_C36_c1.0,SL-EN strict harmful-refusal gap in exp10:GRID_C36_c1.0,descriptive,-0.1707317073170731,"[-0.317, -0.024]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;classifier
gap.exp10.GRID_HER88_c1.0,SL-EN strict harmful-refusal gap in exp10:GRID_HER88_c1.0,descriptive,-0.2682926829268293,"[-0.415, -0.146]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;classifier
gap.exp10.SWAP_in_trial96,SL-EN strict harmful-refusal gap in exp10:SWAP_in_trial96,descriptive,-0.2072072072072072,"[-0.324, -0.090]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;classifier
gap.exp10.dev_LOBO_1_12,SL-EN strict harmful-refusal gap in exp10:dev_LOBO_1_12,descriptive,-0.175,"[-0.300, -0.075]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword;classifier;rogan_gladen
gap.exp10.dev_P12,SL-EN strict harmful-refusal gap in exp10:dev_P12,descriptive,-0.1999999999999999,"[-0.375, -0.025]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;classifier;rogan_gladen
gap.exp10.dev_P20,SL-EN strict harmful-refusal gap in exp10:dev_P20,descriptive,0.15,"[-0.025, 0.350]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs rogan_gladen
gap.exp10.dev_P24,SL-EN strict harmful-refusal gap in exp10:dev_P24,descriptive,0.15,"[-0.025, 0.350]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs rogan_gladen
gap.exp10.dev_P28,SL-EN strict harmful-refusal gap in exp10:dev_P28,descriptive,0.125,"[-0.050, 0.300]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs rogan_gladen
gap.exp10.dev_P32,SL-EN strict harmful-refusal gap in exp10:dev_P32,descriptive,0.125,"[-0.025, 0.275]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs rogan_gladen
gap.exp10.dev_P44,SL-EN strict harmful-refusal gap in exp10:dev_P44,descriptive,0.0749999999999999,"[-0.075, 0.225]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs rogan_gladen
gap.exp10.dev_P48,SL-EN strict harmful-refusal gap in exp10:dev_P48,descriptive,0.1,"[-0.050, 0.250]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs rogan_gladen
gap.exp10.dev_S24,SL-EN strict harmful-refusal gap in exp10:dev_S24,descriptive,-0.275,"[-0.450, -0.075]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;classifier
gap.exp10.dev_S36,SL-EN strict harmful-refusal gap in exp10:dev_S36,descriptive,-0.175,"[-0.300, -0.075]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword;classifier
gap.exp11.F_dose2.0,SL-EN strict harmful-refusal gap in exp11:F_dose2.0,descriptive,-0.0176470588235294,"[-0.053, 0.012]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;classifier
gap.exp11.F_dose3.0,SL-EN strict harmful-refusal gap in exp11:F_dose3.0,descriptive,0.0,"[0.000, 0.000]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp12.gemma:conf_W1,SL-EN strict harmful-refusal gap in exp12:gemma:conf_W1,descriptive,0.2333333333333334,"[0.067, 0.400]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp12.gemma:conf_W3,SL-EN strict harmful-refusal gap in exp12:gemma:conf_W3,descriptive,0.3166666666666666,"[0.183, 0.467]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp12.gemma:dev_P10,SL-EN strict harmful-refusal gap in exp12:gemma:dev_P10,descriptive,0.073170731707317,"[-0.024, 0.171]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;classifier;rogan_gladen
gap.exp12.gemma:dev_P100,SL-EN strict harmful-refusal gap in exp12:gemma:dev_P100,descriptive,-0.1219512195121951,"[-0.317, 0.049]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;classifier
gap.exp12.gemma:dev_P50,SL-EN strict harmful-refusal gap in exp12:gemma:dev_P50,descriptive,0.1463414634146341,"[-0.073, 0.366]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;classifier
gap.exp12.gemma:dev_P75,SL-EN strict harmful-refusal gap in exp12:gemma:dev_P75,descriptive,-0.0243902439024389,"[-0.220, 0.171]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;classifier
gap.exp12.mistral:dev_P100,SL-EN strict harmful-refusal gap in exp12:mistral:dev_P100,descriptive,-0.1463414634146341,"[-0.317, 0.000]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs rogan_gladen
gap.exp12.mistral:dev_RND,SL-EN strict harmful-refusal gap in exp12:mistral:dev_RND,descriptive,-0.048780487804878,"[-0.220, 0.098]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp12.qwen3:conf_W1,SL-EN strict harmful-refusal gap in exp12:qwen3:conf_W1,descriptive,-0.1833333333333333,"[-0.350, -0.017]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;rogan_gladen
gap.exp4.gams_edit,SL-EN strict harmful-refusal gap in exp4:gams_edit,descriptive,-0.0151515151515151,"[-0.030, -0.003]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;rogan_gladen
gap.exp4.gemma_edit,SL-EN strict harmful-refusal gap in exp4:gemma_edit,descriptive,0.5022566086395874,"[0.435, 0.569]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.CF_K96k_x1,SL-EN strict harmful-refusal gap in exp9:CF_K96k_x1,descriptive,0.4357142857142856,"[0.336, 0.543]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.CF_W0_core,SL-EN strict harmful-refusal gap in exp9:CF_W0_core,descriptive,0.3714285714285714,"[0.264, 0.471]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.CF_W3_core_plus_act_all48,SL-EN strict harmful-refusal gap in exp9:CF_W3_core_plus_act_all48,descriptive,-0.0285714285714285,"[-0.086, 0.029]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.CF_W_ALL48_c0.717_G4,SL-EN strict harmful-refusal gap in exp9:CF_W_ALL48_c0.717_G4,descriptive,0.4428571428571428,"[0.329, 0.543]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.CF_W_ALL48_c1,SL-EN strict harmful-refusal gap in exp9:CF_W_ALL48_c1,descriptive,0.2714285714285714,"[0.179, 0.364]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.CF_W_B2_c1,SL-EN strict harmful-refusal gap in exp9:CF_W_B2_c1,descriptive,0.4571428571428571,"[0.364, 0.557]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.CF_W_B3_c1,SL-EN strict harmful-refusal gap in exp9:CF_W_B3_c1,descriptive,0.0857142857142856,"[0.021, 0.150]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.CF_W_B3_c1.5,SL-EN strict harmful-refusal gap in exp9:CF_W_B3_c1.5,descriptive,0.2214285714285714,"[0.129, 0.307]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.CF_W_B4_c1.5,SL-EN strict harmful-refusal gap in exp9:CF_W_B4_c1.5,descriptive,0.0285714285714285,"[-0.014, 0.071]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;rogan_gladen
gap.exp9.CF_W_C36_c0.787_G3,SL-EN strict harmful-refusal gap in exp9:CF_W_C36_c0.787_G3,descriptive,0.3785714285714285,"[0.271, 0.493]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.CF_W_S2_c0.726_G2,SL-EN strict harmful-refusal gap in exp9:CF_W_S2_c0.726_G2,descriptive,0.3,"[0.214, 0.386]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.CF_W_S4_c0.943_G1,SL-EN strict harmful-refusal gap in exp9:CF_W_S4_c0.943_G1,descriptive,0.1285714285714285,"[0.071, 0.200]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.CF_X1_act_all48,SL-EN strict harmful-refusal gap in exp9:CF_X1_act_all48,descriptive,-0.0571428571428571,"[-0.121, 0.000]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.K96g_heretic_exact,SL-EN strict harmful-refusal gap in exp9:K96g_heretic_exact,descriptive,0.6341463414634146,"[0.488, 0.780]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.K96k_x0.5,SL-EN strict harmful-refusal gap in exp9:K96k_x0.5,descriptive,0.6585365853658536,"[0.488, 0.805]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.K96k_x1,SL-EN strict harmful-refusal gap in exp9:K96k_x1,descriptive,0.5365853658536586,"[0.341, 0.707]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.PA_lobo_01_12,SL-EN strict harmful-refusal gap in exp9:PA_lobo_01_12,descriptive,0.0909090909090909,"[-0.045, 0.227]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;rogan_gladen
gap.exp9.PA_lobo_13_24,SL-EN strict harmful-refusal gap in exp9:PA_lobo_13_24,descriptive,-0.0454545454545454,"[-0.205, 0.114]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword;classifier
gap.exp9.PA_lobo_25_36,SL-EN strict harmful-refusal gap in exp9:PA_lobo_25_36,descriptive,0.3181818181818182,"[0.136, 0.477]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.PA_prefix_16,SL-EN strict harmful-refusal gap in exp9:PA_prefix_16,descriptive,0.3409090909090909,"[0.136, 0.523]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.PA_prefix_20,SL-EN strict harmful-refusal gap in exp9:PA_prefix_20,descriptive,0.2954545454545454,"[0.114, 0.500]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.PA_prefix_24,SL-EN strict harmful-refusal gap in exp9:PA_prefix_24,descriptive,0.3409090909090909,"[0.159, 0.523]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.PA_prefix_28,SL-EN strict harmful-refusal gap in exp9:PA_prefix_28,descriptive,0.0227272727272727,"[-0.091, 0.136]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.PA_prefix_40,SL-EN strict harmful-refusal gap in exp9:PA_prefix_40,descriptive,0.0227272727272727,"[-0.114, 0.159]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.PA_prefix_44,SL-EN strict harmful-refusal gap in exp9:PA_prefix_44,descriptive,0.0227272727272727,"[-0.114, 0.159]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.PA_prefix_48,SL-EN strict harmful-refusal gap in exp9:PA_prefix_48,descriptive,-0.0681818181818181,"[-0.182, 0.045]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.PA_suffix_04,SL-EN strict harmful-refusal gap in exp9:PA_suffix_04,descriptive,0.1136363636363635,"[-0.023, 0.273]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;rogan_gladen
gap.exp9.PA_suffix_12,SL-EN strict harmful-refusal gap in exp9:PA_suffix_12,descriptive,0.159090909090909,"[0.000, 0.295]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;rogan_gladen
gap.exp9.PA_suffix_16,SL-EN strict harmful-refusal gap in exp9:PA_suffix_16,descriptive,0.159090909090909,"[0.022, 0.318]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.PA_suffix_20,SL-EN strict harmful-refusal gap in exp9:PA_suffix_20,descriptive,0.1590909090909091,"[-0.023, 0.341]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;classifier;rogan_gladen
gap.exp9.PA_suffix_24,SL-EN strict harmful-refusal gap in exp9:PA_suffix_24,descriptive,0.0681818181818182,"[-0.136, 0.295]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;classifier
gap.exp9.PA_suffix_28,SL-EN strict harmful-refusal gap in exp9:PA_suffix_28,descriptive,0.1590909090909091,"[-0.023, 0.318]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword;classifier;rogan_gladen
gap.exp9.PA_suffix_32,SL-EN strict harmful-refusal gap in exp9:PA_suffix_32,descriptive,0.1136363636363636,"[0.000, 0.227]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;classifier;rogan_gladen
gap.exp9.PA_suffix_36,SL-EN strict harmful-refusal gap in exp9:PA_suffix_36,descriptive,0.0909090909090909,"[-0.023, 0.227]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;rogan_gladen
gap.exp9.PA_suffix_40,SL-EN strict harmful-refusal gap in exp9:PA_suffix_40,descriptive,0.0909090909090909,"[0.000, 0.205]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.PA_suffix_44,SL-EN strict harmful-refusal gap in exp9:PA_suffix_44,descriptive,0.1136363636363636,"[-0.023, 0.250]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;rogan_gladen
gap.exp9.PA_suffix_48,SL-EN strict harmful-refusal gap in exp9:PA_suffix_48,descriptive,-0.0681818181818181,"[-0.182, 0.045]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.P_W_ALL48_c0.717_G4,SL-EN strict harmful-refusal gap in exp9:P_W_ALL48_c0.717_G4,descriptive,0.073170731707317,"[-0.024, 0.171]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;rogan_gladen
gap.exp9.P_W_B2_c1,SL-EN strict harmful-refusal gap in exp9:P_W_B2_c1,descriptive,0.1219512195121951,"[0.000, 0.244]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;classifier;rogan_gladen
gap.exp9.P_W_B3_c1,SL-EN strict harmful-refusal gap in exp9:P_W_B3_c1,descriptive,0.0487804878048779,"[-0.073, 0.171]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;rogan_gladen
gap.exp9.P_W_B4_c1.5,SL-EN strict harmful-refusal gap in exp9:P_W_B4_c1.5,descriptive,0.1219512195121951,"[0.024, 0.244]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.P_W_C36_c0.787_G3,SL-EN strict harmful-refusal gap in exp9:P_W_C36_c0.787_G3,descriptive,0.097560975609756,"[0.024, 0.195]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.P_W_S2_c0.726_G2,SL-EN strict harmful-refusal gap in exp9:P_W_S2_c0.726_G2,descriptive,0.097560975609756,"[0.024, 0.195]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.P_W_S4_c0.943_G1,SL-EN strict harmful-refusal gap in exp9:P_W_S4_c0.943_G1,descriptive,0.097560975609756,"[0.024, 0.195]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.R_W_ALL48_c0.717_G4,SL-EN strict harmful-refusal gap in exp9:R_W_ALL48_c0.717_G4,descriptive,0.097560975609756,"[0.024, 0.195]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.R_W_B2_c1,SL-EN strict harmful-refusal gap in exp9:R_W_B2_c1,descriptive,0.097560975609756,"[0.024, 0.195]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.R_W_B3_c1,SL-EN strict harmful-refusal gap in exp9:R_W_B3_c1,descriptive,0.1463414634146341,"[0.049, 0.268]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.R_W_B3_c1.5,SL-EN strict harmful-refusal gap in exp9:R_W_B3_c1.5,descriptive,0.1219512195121951,"[0.024, 0.244]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.R_W_B4_c1.5,SL-EN strict harmful-refusal gap in exp9:R_W_B4_c1.5,descriptive,0.1219512195121951,"[0.024, 0.244]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.R_W_C36_c0.787_G3,SL-EN strict harmful-refusal gap in exp9:R_W_C36_c0.787_G3,descriptive,0.1219512195121951,"[0.024, 0.220]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.R_W_S2_c0.726_G2,SL-EN strict harmful-refusal gap in exp9:R_W_S2_c0.726_G2,descriptive,0.1219512195121951,"[0.048, 0.220]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.R_W_S4_c0.943_G1,SL-EN strict harmful-refusal gap in exp9:R_W_S4_c0.943_G1,descriptive,0.1219512195121951,"[0.024, 0.220]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.S5X_W_ALL48_c1.5,SL-EN strict harmful-refusal gap in exp9:S5X_W_ALL48_c1.5,descriptive,0.06,"[0.000, 0.120]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;classifier
gap.exp9.S5X_W_K96_c1.5,SL-EN strict harmful-refusal gap in exp9:S5X_W_K96_c1.5,descriptive,0.06,"[0.000, 0.120]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs keyword;classifier
gap.exp9.SMK_W_4layer,SL-EN strict harmful-refusal gap in exp9:SMK_W_4layer,descriptive,0.1999999999999999,"[0.050, 0.400]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
gap.exp9.SMK_X1_all48,SL-EN strict harmful-refusal gap in exp9:SMK_X1_all48,descriptive,0.2,"[0.050, 0.400]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword;classifier;rogan_gladen
gap.exp9.W3_core_plus_act_all48,SL-EN strict harmful-refusal gap in exp9:W3_core_plus_act_all48,descriptive,0.024390243902439,"[-0.098, 0.171]",,JUDGE_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword;classifier
gap.exp9.W_ALL48_c0.25,SL-EN strict harmful-refusal gap in exp9:W_ALL48_c0.25,descriptive,0.4878048780487805,"[0.341, 0.634]",,DEFINITION_SENSITIVE,results/judge_sensitive_gap_claims.csv,flips vs workhorse_broad;keyword
