id,location,draft_text,reported,recomputed,recomputed_ci,kind,dp,source,level,note,scorer_status,status,abs_delta,rel_delta,surfaces_quoting_value
E4.S6_overrefusal.community_ref.en,body: Experiment 4 table,community_ref en S6 over-refusal 0.007,0.007,0.006666666666666667,"[0.0, 0.02]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.00033333333333333305,-0.047619047619047575,['body']
E4.S5_refusal.community_ref.sl,body: Experiment 4 table,community_ref sl S5 refusal 0.114,0.114,0.11428571428571428,"[0.07857142857142857, 0.15008928571428523]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.00028571428571427804,0.0025062656641603336,['body']
E4.S6_overrefusal.community_ref.sl,body: Experiment 4 table,community_ref sl S6 over-refusal 0.027,0.027,0.02666666666666667,"[0.006666666666666667, 0.05333333333333334]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0003333333333333313,-0.012345679012345604,['body']
E4.gemma_edit_en_partial,body: Experiment 4,PARTIAL 0.548 of Gemma edit EN outputs,0.548,0.5483870967741935,,rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0003870967741934628,0.000706380974805589,"['figures', 'body', 'conclusion']"
E4.invalid_all_cells,body: Experiment 4,Invalid rate was 0.000 across all cells,0.0,0.0,,rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,,"['abstract', 'summary', 'figures', 'body', 'conclusion']"
E4.judged_next_to_kw_gemma_edit_en,body: Experiment 4 keyword miscalibration,'keyword refusal rate is 0.851 while the Qwen3-14B judged rate is 0.287',0.287,0.2553191489361702,,rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,"0.851 is computed on S5+S5X EN (n=329, judged .255); 0.287 is S5 only (n=279): the sentence pairs numbers from different denominators",CERTIFIED_OR_NOT_SCORER_DEPENDENT,FAIL,0.031680851063829785,-0.11038624064052191,['body']
E4.kw_rate_gemma_edit_en,body: Experiment 4 keyword miscalibration,keyword refusal 0.851,0.851,0.851063829787234,,rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,6.382978723407096e-05,7.500562542194002e-05,['body']
E4.kw_fp_share_gemma_edit_en,body: Experiment 4 keyword miscalibration,false-positive share 0.761,0.761,0.7607142857142857,,rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.00028571428571433355,-0.0003754458419373634,['body']
E4.kw_kappa_gemma_edit_en,body: Experiment 4 keyword miscalibration,kappa -0.04,-0.04,-0.040623796688486674,"[-0.09746274772280897, 0.013171656735898847]",rate,2,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0006237966884866733,-0.015594917212166833,"['body', 'conclusion']"
E4.gap_strict_gemma_edit,body Exp4 + fig_refusal_gap + conclusion,"strict gap +0.69 [0.60, 0.78]",0.69,0.69,"[0.6, 0.78]",rate,2,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['figures', 'body', 'conclusion']"
E4.gap_broad_gemma_edit,body Exp4 + fig_refusal_gap + conclusion,"broad gap +0.23 [0.14, 0.32]",0.23,0.23,"[0.15, 0.32]",rate,2,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['figures', 'body', 'conclusion']"
E4.gap_keyword_gemma_edit,body Exp4 + fig_refusal_gap + conclusion,"keyword gap +0.06 [-0.02, 0.14]",0.06,0.06,"[-0.02, 0.14]",rate,2,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['figures', 'body', 'conclusion']"
E4.gap_strict_community,body: Experiment 4,"community strict gap +0.12 [0.05, 0.20]",0.12,0.12,"[0.05, 0.19]",rate,2,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,['body']
E4.did_gemma,body: Experiment 4,"DiD +0.66 [0.55, 0.76]",0.66,0.66,"[0.56, 0.76]",rate,2,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,['body']
E4.community_flores_nll,body: Experiment 4,"community ref FLORES NLL shifts (0.054 EN, 0.111 SL)",0.054,,,unbacked,3,none,NO_BACKING_FILE,exp4 ran no FLORES for community_ref; 0.054 equals the community EN S5 refusal rate - likely a transcription error,CERTIFIED_OR_NOT_SCORER_DEPENDENT,NO_BACKING_FILE,,,"['body', 'conclusion']"
EV2.nonrefused_safe_gemma_edit_en,body: Evaluation 2 nonrefused decomposition,"Among nonrefused Gemma edit EN responses, 7.2% [3.3, 11.8] were guard-safe",0.072,0.10612244897959183,"[0.06938775510204082, 0.1469387755102041]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,"7.2% is exp11 C_corrected (asr_summary.json), not the Gemma edit",CERTIFIED_OR_NOT_SCORER_DEPENDENT,FAIL,0.03412244897959184,0.4739229024943311,[]
EV2.partial_among_nonrefused_gemma_edit_en,body: Evaluation 2,32.7% were PARTIAL among nonrefused,0.327,0.7142857142857143,,rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,32.7% is exp11 C_corrected,CERTIFIED_OR_NOT_SCORER_DEPENDENT,FAIL,0.3872857142857143,1.18435998252512,['body']
ROUND.guard_safe_gap_sl_minus_en,strategy/hypothesis (to enter the paper),"+0.232 [0.124, 0.348]",0.232,0.2313775510204082,"[0.12295918367346939, 0.3395408163265306]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,unpaired (non-refused sets differ by language); conditional denominators printed in nonrefused table,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS_WITHIN_CI_DEFINITION_SENSITIVE,0.000622448979591822,-0.002682969739619922,['body']
EV2.asr_gap_vs_refusal_gap_spearman,body: Evaluation 2,Spearman -0.836 (n=46 cells),-0.836,-0.8356706585341804,,rate,3,eval2/results/asr_summary.json,SUMMARY_FILE_MATCH,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0003293414658195326,0.0003939491217936993,['body']
ROUND.kw_kappa_heldout_edited_en,strategy/hypothesis (to enter the paper),keyword kappa 0.02 on edited English,0.02,0.020927542328320572,"[-0.09229556107746745, 0.13484109655907975]",rate,2,exp11 eval_gen + judge_out/eval_qwen.jsonl,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0009275423283205721,0.0463771164160286,"['figures', 'body']"
ROUND.kw_kappa_heldout_edited_sl,strategy/hypothesis (to enter the paper),keyword kappa 0.00 on Slovene,0.0,0.0,"[0.0, 0.0]",rate,2,exp11 eval_gen + judge_out/eval_qwen.jsonl,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,,"['abstract', 'summary', 'figures', 'body', 'conclusion']"
E15.kw_floor_gemma,body Exp11/Exp15 + fig_gbf + conclusion,keyword floor 72,72.0,72.0,,count,3,exp15/results/per_candidate.csv,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['figures', 'body', 'conclusion']"
E15.kw_floor_gams,body Exp15 + fig_gbf + conclusion,keyword floor 16,16.0,16.0,,count,3,exp15/results/per_candidate.csv,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['summary', 'figures', 'body', 'conclusion']"
E15.kw_floor_gemma_raw,"body Exp11 (11,600 in-loop generations)",floor = 72 keyword refusals across all candidates,72.0,72.0,,count,3,"exp11/results/inloop_gens.jsonl (raw, re-scored here)",RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['figures', 'body', 'conclusion']"
E15.tbf_both,abstract + body Exp15 + conclusion,threshold blindness TBF = 1.0 in both models (no candidate <= 10),1.0,1.0,,exact,3,exp15/results/per_candidate.csv,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['summary', 'figures', 'body', 'conclusion']"
E15.gbf_low_gemma,abstract + body Exp15 + fig_gbf,GBF 47% in the low-refusal region,0.47,0.46956521739130436,,rate,3,exp15/results/analysis.json,SUMMARY_FILE_MATCH,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.00043478260869561636,-0.0009250693802034391,"['figures', 'body', 'conclusion']"
E11.trial96_judge,body Exp11,on trial 96 the keyword count was 69/100 while the judge rated it at 15/100,15.0,37.0,,count,3,exp11/results/miscalibration_table.csv,SUMMARY_FILE_MATCH,0.15 is the S5X EN arm-B rate (different item set),CERTIFIED_OR_NOT_SCORER_DEPENDENT,FAIL,22.0,1.4666666666666666,"['body', 'conclusion']"
E11.trial107_judge,body Exp11,trial 107 (which the judge rates at 10/100),10.0,63.0,,count,3,exp11/results/miscalibration_table.csv,SUMMARY_FILE_MATCH,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,FAIL,53.0,5.3,"['figures', 'body', 'conclusion']"
E11.S5X_en.A_orig,body Exp11 table + fig_behaviour_summary,A_orig EN 0.95,0.95,0.95,,rate,3,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['figures', 'body']"
E11.S5X_sl.A_orig,body Exp11 table + fig_behaviour_summary,A_orig SL 0.99,0.99,0.99,,rate,3,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['figures', 'body']"
E11.S5X_gap.A_orig,body Exp11 table,A_orig gap 0.04,0.04,0.04,"[0.01, 0.08]",rate,2,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['body', 'conclusion']"
E11.S5X_en.B_keyword_t96,body Exp11 table + fig_behaviour_summary,B_keyword_t96 EN 0.15,0.15,0.15,,rate,3,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['summary', 'figures', 'body', 'conclusion']"
E11.S5X_sl.B_keyword_t96,body Exp11 table + fig_behaviour_summary,B_keyword_t96 SL 0.83,0.83,0.83,,rate,3,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['abstract', 'summary', 'figures', 'body', 'conclusion']"
E11.S5X_gap.B_keyword_t96,body Exp11 table,B_keyword_t96 gap 0.68,0.68,0.68,"[0.59, 0.77]",rate,2,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['figures', 'body', 'conclusion']"
E11.S5X_en.C_corrected,body Exp11 table + fig_behaviour_summary,C_corrected EN 0.03,0.03,0.03,,rate,3,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['figures', 'body']"
E11.S5X_sl.C_corrected,body Exp11 table + fig_behaviour_summary,C_corrected SL 0.41,0.41,0.41,,rate,3,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['figures', 'body']"
E11.S5X_gap.C_corrected,body Exp11 table,C_corrected gap 0.38,0.38,0.38,"[0.29, 0.4702499999999986]",rate,2,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['body', 'conclusion']"
E11.S5X_en.D_reselected_clf,body Exp11 table + fig_behaviour_summary,D_reselected_clf EN 0.05,0.05,0.05,,rate,3,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['figures', 'body', 'conclusion']"
E11.S5X_sl.D_reselected_clf,body Exp11 table + fig_behaviour_summary,D_reselected_clf SL 0.35,0.35,0.35,,rate,3,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['figures', 'body', 'conclusion']"
E11.S5X_gap.D_reselected_clf,body Exp11 table,D_reselected_clf gap 0.3,0.3,0.3,"[0.21, 0.4]",rate,2,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['figures', 'body']"
E11.S5X_en.D2_reselected_judge,body Exp11 table + fig_behaviour_summary,D2_reselected_judge EN 0.04,0.04,0.04,,rate,3,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['figures', 'body', 'conclusion']"
E11.S5X_sl.D2_reselected_judge,body Exp11 table + fig_behaviour_summary,D2_reselected_judge SL 0.45,0.45,0.45,,rate,3,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['figures', 'body', 'conclusion']"
E11.S5X_gap.D2_reselected_judge,body Exp11 table,D2_reselected_judge gap 0.41,0.41,0.41,"[0.32, 0.51]",rate,2,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,['body']
E11.S5X_en.F_dose1.5,body Exp11 table + fig_behaviour_summary,F_dose1.5 EN 0.03,0.03,0.03,,rate,3,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['figures', 'body']"
E11.S5X_sl.F_dose1.5,body Exp11 table + fig_behaviour_summary,F_dose1.5 SL 0.36,0.36,0.36,,rate,3,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['figures', 'body']"
E11.S5X_gap.F_dose1.5,body Exp11 table,F_dose1.5 gap 0.33,0.33,0.33,"[0.24, 0.43]",rate,2,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['body', 'conclusion']"
E11.S5X_en.F_dose2.0,body Exp11 table + fig_behaviour_summary,F_dose2.0 EN 0.0,0.0,0.0,,rate,3,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,,"['abstract', 'summary', 'figures', 'body', 'conclusion']"
E11.S5X_sl.F_dose2.0,body Exp11 table + fig_behaviour_summary,F_dose2.0 SL 0.0,0.0,0.0,,rate,3,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,,"['abstract', 'summary', 'figures', 'body', 'conclusion']"
E11.S5X_gap.F_dose2.0,body Exp11 table,F_dose2.0 gap 0.0,0.0,0.0,"[0.0, 0.0]",rate,2,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,,"['abstract', 'summary', 'figures', 'body', 'conclusion']"
E11.S5X_en.F_dose3.0,body Exp11 table + fig_behaviour_summary,F_dose3.0 EN 0.0,0.0,0.0,,rate,3,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,,"['abstract', 'summary', 'figures', 'body', 'conclusion']"
E11.S5X_sl.F_dose3.0,body Exp11 table + fig_behaviour_summary,F_dose3.0 SL 0.0,0.0,0.0,,rate,3,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,,"['abstract', 'summary', 'figures', 'body', 'conclusion']"
E11.S5X_gap.F_dose3.0,body Exp11 table,F_dose3.0 gap 0.0,0.0,0.0,"[0.0, 0.0]",rate,2,exp11 eval_gen + eval_qwen,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,,"['abstract', 'summary', 'figures', 'body', 'conclusion']"
E13.pooled_en,strategy + body Exp13 + conclusion,pooled EN -0.688,-0.688,-0.6875,"[-0.7564655172413793, -0.6163793103448276]",rate,3,exp13/results/per_item.csv,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0004999999999999449,0.0007267441860464316,['body']
E13.pooled_sl,strategy + body Exp13,pooled SL -0.377,-0.377,-0.3770833333333333,"[-0.45416666666666666, -0.3]",rate,3,exp13/results/per_item.csv,RECOMPUTED_FROM_PER_ITEM,SL judge gate failed (0.744): JUDGE_SENSITIVE,SUBSTITUTE_SCORER_UNCERTIFIED (exp13 SL gate 0.744),PASS,8.333333333332416e-05,-0.000221043324491576,['body']
E13.groups_8of8_en,strategy (8/8 matched groups),8/8 EN,8.0,8.0,,count,3,exp13/results/per_item.csv,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,"['summary', 'figures', 'body']"
E13.groups_8of8_sl,strategy (8/8 matched groups),8/8 SL,8.0,8.0,,count,3,exp13/results/per_item.csv,RECOMPUTED_FROM_PER_ITEM,,SUBSTITUTE_SCORER_UNCERTIFIED (exp13 SL gate 0.744),PASS,0.0,0.0,"['summary', 'figures', 'body']"
E13.spearman_O_en,abstract + body Exp13 + fig_write_profile,Spearman -0.96,-0.96,-0.9595036269374145,"[-0.9940853429808215, -0.8486017300721259]",rate,2,"exp13 per_item.csv + frozen e_L, g",RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0004963730625854312,0.0005170552735264909,"['figures', 'body', 'conclusion']"
E13.spearman_O_sl,abstract + body Exp13 + fig_write_profile,"Spearman -0.83 [-0.84, -0.82]",-0.83,-0.8297784102735298,"[-0.936598210476322, -0.597048436830267]",rate,2,"exp13 per_item.csv + frozen e_L, g",RECOMPUTED_FROM_PER_ITEM,"the draft CI [-0.84, -0.82] is implausibly narrow for 18 cells",SUBSTITUTE_SCORER_UNCERTIFIED (exp13 SL gate 0.744),PASS,0.0002215897264701283,0.00026697557406039554,"['abstract', 'summary', 'figures', 'body', 'conclusion']"
E13.dR2_O,abstract + body Exp13 + fig_write_profile,incremental R2 over log-energy only 0.026,0.026,0.026131247859506157,,rate,3,exp13/results/analysis.json,SUMMARY_FILE_MATCH,MISDESCRIBED: 0.026 is over the 4-term nuisance stack incl. EN/SL cosine; over energy+count only it is 0.895,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.00013124785950615822,0.005047994596390701,"['abstract', 'summary', 'figures', 'body', 'conclusion']"
E13.dose_x2_en,strategy + body Exp13,2x late-layer dose EN 0.88,0.88,0.8833333333333333,,rate,2,exp13/results/per_item.csv,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0033333333333332993,0.0037878787878787494,['body']
