section,artifact,class,text,backing_workspace,linked_registry_claims,backing_exists,label_provenance
Framing,,OBSERVATION,"[2] report for safety-aligned models evaluated across 14 languages, then abliteration tuned on English should transfer to Slovene.",,,False,
Framing,,INTERPRETATION,"If instead Slovene refusal relies partly on representations that the English objective does not observe, a gap will remain.",,,False,
Framing,,INTERPRETATION,"The practical consequence is that a model abliterated to comply in English might still refuse in Slovene, or might lose Slovene capabilities that the English-only KL constraint does not protect.",,,False,
Framing,,INTERPRETATION,Several concurrent lines of work inform this question.,,,False,
Framing,,INTERPRETATION,BabelSteering [4] and Yoon et al.,,,False,
Framing,,INTERPRETATION,"[5] show that safety alignment imposes disparate costs across languages, with non-English users bearing higher utility loss.",,,False,
Framing,,INTERPRETATION,[6] diagnose the breakdown point for low-resource safety as an action failure rather than a representation failure: the model encodes harmfulness correctly but fails to convert the representation into refusal.,,,False,
Framing,,INTERPRETATION,"[7] formalise this as a disentangled safety hypothesis, separating a recognition axis from an execution axis.",,,False,
Framing,,OBSERVATION,"On the abliteration side, Fafula [8] documents off-target effects of refusal removal across model families, and Young [14] and Petrov [15] compare abliteration methods across architectures.",,E11.trial96_judge;E13.groups_8of8_en;E13.groups_8of8_sl,True,VIA_REGISTRY
Framing,,INTERPRETATION,"Upadhyaya and Sikdar [9] analyse how safety and language identity become entangled, while Hawkins et al.",,,False,
Framing,,OBSERVATION,[10] show that benign multilingual fine-tuning has heterogeneous safety impacts.,,E11.trial107_judge,True,VIA_REGISTRY
Framing,,OBSERVATION,Labunets [11] demonstrates that refusal geometry reflects refusal training diversity.,,,False,
Framing,,INTERPRETATION,"On quantisation effects relevant to our NF4 setup, Marchisio et al.",,,False,
Framing,,OBSERVATION,[12] and Chimoto et al.,,,False,
Framing,,OBSERVATION,[13] show that quantisation calibration language matters for multilingual performance.,,,False,
Framing,,OBSERVATION,"[16] identify language-specific neurons, and Ghussin et al.",,E15.kw_floor_gams;E13.argmax_sl,True,VIA_REGISTRY
Framing,,OBSERVATION,[17] propose principled layer selection for multilingual steering.,,,False,
Framing,,OBSERVATION,Frank [18] argues that refusal-based alignment evaluation conflates detection with routing.,,,False,
Framing,,INTERPRETATION,We study this question in a controlled bilingual setting using two sibling 12B models from the Gemma-3 family: google/gemma-3-12b-it (the English-centric reference) and cjvt/GaMS3-12B-Instruct (a Slovene continual-pretraining and SFT variant of the same architecture).,,,False,
Framing,,INTERPRETATION,Both are loaded in bnb_4bit NF4 quantisation throughout.,,,False,
Framing,,INTERPRETATION,The study proceeds in four iterations.,,,False,
Framing,,INTERPRETATION,"Iteration 1 runs matched Heretic abliteration on both models, screens for cross-language refusal-direction transfer, and builds the shared bilingual evaluation dataset.",,,False,
Framing,,INTERPRETATION,"Iteration 2 uses that dataset to measure the surrogacy gap (what English outcomes fail to predict about Slovene), test causal mechanisms, and evaluate safety and utility on held-out benchmarks.",,,False,
Framing,,INTERPRETATION,"Iteration 3 tests the depth-coverage hypothesis, corrects Heretic's keyword objective, and extends the depth-redundancy index to additional models and languages.",,,False,
Framing,,INTERPRETATION,"Iteration 4 measures the causal write profile in both models, tests the overlap instrument, quantifies gradient blindness of the keyword objective, and audits all prior claims.",,,False,
Iteration 1,,INTERPRETATION,"[Correction, iter 4: The previous drafts omitted substantial iteration-1 content that was present in the original report (iter_1/gen_report_text/gen_report_text/report.md).",,,False,
Iteration 1,,INTERPRETATION,"The material below restores the missing tables (same-edit response surface, swap statistics, transfer matrix), the sibling-surface guard, the decision-margin decomposition, the exploratory double dissociation, four labelled dead ends, and iteration 1's own closing assessment.",,,False,
Iteration 1,,INTERPRETATION,"This is a restoration, not new analysis.]",,,False,
Iteration 1,,INTERPRETATION,"**Strategy.** Iteration 1 had three goals: (a) establish a frozen, audited data protocol covering all planned evaluation splits;",,,False,
Iteration 1,,INTERPRETATION,"(b) run two matched Heretic optimizations under identical conditions to produce the four core checkpoints, score them bilingually, and characterise the same-edit response surface across the two models; and (c) screen the refusal-direction transfer hypothesis with a 2×2 source-language by evaluation-language ablation matrix, a Slovene-direction increment test, and matched-efficacy and dose-response",,,False,
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,INTERPRETATION,"**Goal.** Run identical Heretic TPE searches on both models under the same seed, select an abliterated checkpoint for each, and compare the two models' responses to the same edits.",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"**Setup.** Both models were searched over 116 complete trials (seed 20260923) using Heretic (SHA 3521f864) with the default configuration: orthogonalize_direction=true, row_normalization='full', rank-3 LoRA.",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,The English keyword refusal rate (out of 100 harmful prompts) and mean KL divergence served as Heretic's two objectives.,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"Selection followed a frozen protocol: minimise KL subject to refusals ≤ 10; if no trial met this primary criterion, fall back to minimising refusals subject to KL ≤ 1.0.",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,INTERPRETATION,Both models fell back to the secondary rule.,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,**Selected trials.** GaMS3 trial 88 reached 16/100 English refusals at KL 0.175.,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,Gemma trial 96 reached 69/100 English refusals at KL 0.024.,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"The Gemma model refused far more often than GaMS3 under identical abliteration parameters, and no Gemma trial achieved ≤ 50/100 refusals.",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"The 13.4× figure is the ratio of medians of refusal drop per unit KL across the 60 shared startup edits (GaMS3 1449 vs Gemma 108 refusals/nat), not a ratio of median refusal counts [Correction, iter 3: clarified definition from evaluation audit].",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"In all 60 startup edits, Gemma refused at least as often as GaMS3 (60/60, median paired difference +25).",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"In a KL-matched subset (n=30, GaMS3 KL median 0.0101, Gemma 0.0098), GaMS3 median refusal was 65/100 versus Gemma 99/100 [Correction, iter 3: added from evaluation audit].",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,**Behaviour on the selected trials.** The table below shows keyword refusal rates (out of 100 harmful prompts) and FLORES+ NLL for each checkpoint.,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,INTERPRETATION,| Model | Checkpoint | EN refusals | SL refusals | KL mean | FLORES NLL EN | FLORES NLL SL |,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,| GaMS3 | original | 98 | 97 | 0.000 | 3.332 | 2.570 |,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,| GaMS3 | own edit (trial 88) | 16 | 10 | 0.175 | 3.334 | 2.566 |,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,| GaMS3 | swap (Gemma trial 96) | 25 | 25 | 0.046 | 3.336 | 2.576 |,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,| Gemma | original | 100 | 97 | 0.000 | 4.018 | 3.702 |,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,| Gemma | own edit (trial 96) | 69 | 90 | 0.024 | 4.012 | 3.703 |,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,| Gemma | swap (GaMS3 trial 88) | 53 | 25 | 0.254 | 4.011 | 3.712 |,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,INTERPRETATION,"[Correction, iter 3: The Gemma rows above are recomputed from the saved evaluation files.",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"The previous draft reported Gemma orig SL = 100 (actual: 97), Gemma own edit SL = 85 (actual: 90), Gemma swap EN/SL = 91/95 at KL 0.293 (actual: 53/25 at KL 0.254), and FLORES values of 3.930/3.427 etc. that are untraceable in iteration-1 files.",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,The corrected FLORES values come from the 40-sentence devtest means stored in the evaluation JSON files.],iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,GaMS3's own edit reduced English refusals from 98 to 16 and Slovene refusals from 97 to 10.,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"Slovene refusal dropped even though Heretic optimised only on English, and FLORES NLL changed by at most 0.01.",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"For Gemma, the edit reduced English refusals from 100 to 69 but Slovene refusals only from 100 to 90 (keyword count).",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"[Correction, iter 3: the previous draft reported Gemma own-edit SL as 85; the evaluation audit finds 90.]",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,INTERPRETATION,The swap results are informative.,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,GaMS3 under Gemma's trial-96 edit showed 25/25 (EN/SL) refusals;,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"Gemma under GaMS3's trial-88 edit showed 53/25 (EN/SL) at KL 0.254 [Correction, iter 3: the previous draft reported 91/95 at KL 0.293; the corrected values from evaluation audit show GaMS3's broader, stronger parameters suppress Gemma's SLOVENE refusal far more than English (SL 97→25 vs EN 100→53), at roughly 10× the KL of Gemma's own edit.",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,INTERPRETATION,This supports the depth/dose reading: a stronger edit of the same base largely transfers to Slovene.].,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"**Direction geometry.** Across layers 24 to 47, the mean cosine between the two models' diff-in-means refusal directions was 0.57; across all layers it was 0.63.",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,The cosine between their harmless-token directions was 0.98.,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,Random directions gave a mean |cos| of 0.014.,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,INTERPRETATION,"The refusal directions are more aligned than chance but far from parallel; the harmless directions are near-identical, consistent with the shared tokenizer and architecture.",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"**A3 screen (paired startup edits).** The Spearman correlation of refusal counts between the two models across 60 paired edits was 0.78 [0.63, 0.88].",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,KL divergence correlated at 0.97.,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,INTERPRETATION,"However, the incremental variance explained by the sibling model's outcome (dR2_sibling) was near zero for both directions of prediction, meaning the two models' refusal counts are correlated through shared parameters but one model's outcome does not add predictive value over those parameters.",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"The screen verdict was ""intermediate"" (raw rho 0.781 is below the 0.9 threshold for ""shared via strength only"") [Correction, iter 3: previous draft said ""shared via strength only""; the evaluation audit restores the correct frozen reading].",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,**Sanity checks.** All 60 startup edits used identical parameter draws (verified).,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,FLORES NLL shifts were ≤ 0.01 for both models.,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"Slovene marker validation on the selected GaMS3 edit showed accuracy 0.75 and kappa 0.48 (fair agreement between keyword markers and the executor's hand labels on 40 items) [Correction, iter 3: previous draft described these as ""LLM-judge labels""; they were executor labels, not native-speaker labels].",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,INTERPRETATION,"[Correction, iter 4: The following tables were present in the original iteration-1 report but omitted from subsequent drafts.",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,INTERPRETATION,Restored verbatim from iter_1/gen_report_text/gen_report_text/report.md.],iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"**Same-edit response surface (60 shared edits, English keyword refusal; source: art_vzhOPupFwE4M results).**",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,INTERPRETATION,| Measure | GaMS3 | Gemma |,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,| Refusals median | 74.5 | 99.0 |,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"| Refusals range | [25, 99] | [71, 100] |",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,| KL median | 0.0079 | 0.0057 |,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"| Efficiency (refusal drop / KL) | 1,449 | 108 |",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"| Efficiency ratio | 13.4× (CI [7.0, 30.0]) | |",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,| Edits where Gemma refuses more | 60/60 | |,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"| Paired refusal diff median | +25 (CI [10, 43]) | |",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"| KL Spearman rho | 0.967 (CI [0.93, 0.98]) | |",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,| KL partial rho (controlling kernel mass) | 0.923 | |,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"**Sibling-surface guard.** The incremental R-squared of the sibling model's refusal over the shared edit parameters was near zero for refusal (dR2 0.008, CI [-0.017, 0.055] and -0.006, CI [-0.028, 0.018]) but positive for KL (dR2 0.143, CI [0.074, 0.246] and 0.154, CI [0.093, 0.242]).",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,INTERPRETATION,The two models share how edits damage harmless computation (KL) but not how that damage translates into refusal change.,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,INTERPRETATION,**Swap tests (source: art_vzhOPupFwE4M results).**,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,INTERPRETATION,| Model | Comparison | EN diff | EN p | SL diff | SL p | KL ratio (own/swap) |,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"| GaMS3 | own vs swap | -0.09 | 0.078 | -0.15 | 2.7e-4 | 3.80 (CI [3.13, 4.69]) |",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"| Gemma | own vs swap | +0.16 | 0.020 | +0.65 | 5.4e-20 | 0.095 (CI [0.046, 0.189]) |",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,| GaMS3 | orig vs own | +0.82 | 4.1e-25 | +0.87 | 2.9e-25 | — |,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,| Gemma | orig vs own | +0.31 | 9.3e-10 | +0.07 | 0.016 | — |,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"GaMS3's trial-88 parameters applied to Gemma suppressed Slovene refusal far more than English (SL 97→25 vs EN 100→53, McNemar p < 1e-19 for SL), consistent with the depth/dose reading: a stronger edit transfers to Slovene.",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,INTERPRETATION,**Dead ends from iteration 1:**,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"**Blocked Slovene LLM judge.** The OpenRouter API key returned HTTP 403 on every request, including a 4-token probe.",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,Zero of 600 planned judgements succeeded; all Slovene numbers rest on keyword-marker lists with moderate agreement (kappa 0.48) against executor hand labels.,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,INTERPRETATION,This limits all iteration-1 Slovene refusal counts to development-grade measurements.,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,OBSERVATION,"**Collateral-confounded Slovene increment.** The GaMS3 Slovene-direction increment (F_raw = 0.228, F_ctrl = 0.195) is confounded with collateral damage: full-span ablation of the Slovene direction destroyed utility (FLORES NLL +1.4 nats per token, ~35% malformed outputs).",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,INTERPRETATION,The increment is uninterpretable for GaMS3.,iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,INTERPRETATION,"For Gemma, the increment was zero.",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
Experiment 1: Matched Heretic runs [ARTIFACT:art_vzhOPupFwE4M],art_vzhOPupFwE4M,INTERPRETATION,"**Cut sensitivity arms.** Priority-3 sensitivity arms (S1-derived, per-language-best-layer, and content-token directions) were not executed for time.",iter_1/gen_art/gen_art_experiment_1,,True,OTHER_ROUND_ARTIFACT
