claim_id,neighbour_ids,producing_file_path,tag,paper_sections_to_reconcile,note
C14,"N14,N17",72/100 floor; 7-98/100 judged - iter_3/gen_art/gen_art_experiment_11/README.md and results/miscalibration_table.csv,OBSERVATION,abstract; results,NEIGHBOUR NAMED; delta is the SELECTION side (N17 closest)
C15,"N14,N15,N16,N18","30.6 / 2.1 / .143 / .858 [.820,.888] - iter_3/gen_art/gen_art_experiment_11/scorer/certification.json and results/miscalibration_table.csv",OBSERVATION,results; methods (judge),NEIGHBOUR NAMED
C16,N17,"305/305 checks re-derived, 3 placebos failed as required - iter_3/gen_art/gen_art_experiment_11/results/audit_headline.json",INTERPRETATION,abstract; discussion,NEIGHBOUR NAMED (AdvPrefix owns the general point; claim must be narrowed)
C17,N17,"gap +0.68 -> +0.38 [0.29,0.47] corrected vs +0.33 dose-scaled - iter_3/gen_art/gen_art_experiment_11/results/eval_analysis.json and README.md",FAILED HYPOTHESIS,discussion (falsified column),NEIGHBOUR NAMED
C18,"N14,N15,N16,N18",n/a,OBSERVATION,related work; methods,"NEIGHBOUR NAMED - prior work, cited as such"
C19,"N14,N15,N18",gap range - iter_3/gen_art/gen_art_evaluation_1/results/gap_range_summary.csv,OBSERVATION,results; limitations,NEIGHBOUR NAMED
C20,"N20,N21",n/a,OBSERVATION,introduction; related work,NEIGHBOUR NAMED
C21,"N20,N21",from C13 - iter_3/gen_art/gen_art_experiment_12/results/report_tables.md,INTERPRETATION,discussion; conclusion,NEIGHBOUR NAMED
C22,"N25,N13,N24",AUROC > .995 - iter_2/gen_art/gen_art_experiment_5 results (T5); recomputed rows in iter_3/gen_art/gen_art_evaluation_1/results/corrected_numbers.json,OBSERVATION,results; discussion,NEIGHBOUR NAMED
C23,"N22,N23",n/a,INTERPRETATION,related work; discussion,NEIGHBOUR NAMED - claim NARROWED after this search
C24,N27,n/a,OBSERVATION,introduction; discussion (practitioner framing),NEIGHBOUR NAMED (the tool itself); statement bound to the access date
C25,N29,SL harmful .86 -> .55; FLORES dNLL +2.02 EN / +1.93 SL - iter_2/gen_art/gen_art_experiment_8/results/report_tables.md (A4),FAILED HYPOTHESIS,discussion (failed column),NEIGHBOUR NAMED
C26,N19,"macro task changes <= 0.20 points; FLORES NLL changes <= 0.002 - iter_2/gen_art/gen_art_experiment_5 results/analysis (T3,T4), recomputed in iter_3/gen_art/gen_art_evaluation_1/results/corrected_numbers.json",OBSERVATION,results; limitations,NEIGHBOUR NAMED
C27,"N19,N18",5 packets with paths and n - iter_3/gen_art/gen_art_evaluation_1/results/pending_human_review.md,UNEXECUTED PROPOSAL,limitations,NEIGHBOUR NAMED (both bound the automatic-only reading)
C28,N18,"0 judgements - iter_1/gen_art/gen_art_experiment_1/results/judge_sl.json, ledger row in iter_3/gen_art/gen_art_evaluation_1/results/dead_end_ledger.md",UNEXECUTED PROPOSAL,limitations,NEIGHBOUR NAMED
C29,N21,0/1400 - iter_1/gen_art/gen_art_dataset_1/data/reports/refuseu_correspondence.json,OBSERVATION,methods; limitations,NEIGHBOUR NAMED
C30,"N1,N10",n/a - see results/unverified_claims.md SS1,OBSERVATION,related work; limitations,NEIGHBOUR NAMED; inherited NOT VERIFIED flag RESOLVED with a correction
